Class Year,Type,Name,Position,Height,Weight,Transfer Rating,HS Rating,Transfer Stars,HS Stars,High School,Hometown City,Hometown State,Previous School,Status,Profile URL,location,lat,lon
1999,Recruit,Brandon Lloyd,S,6-2,170,,,,0,Blue Springs,Blue Springs,MO,,Enrolled,https://247sports.com/Player/brandon-lloyd-73921/,"Blue Springs, MO",39.017316,-94.282265
1999,Recruit,Kenny Boyle,TE,6-5,240,,,,0,Glenwood,Chatham,IL,,Signed,https://247sports.com/Player/kenny-boyle-73955/,"Chatham, IL",39.676163,-89.7045439
1999,Recruit,Marc Jackson,S,6-1,185,,,,0,Crescent Valley,Corvallis,OR,,Signed,https://247sports.com/Player/marc-jackson-73919/,"Corvallis, OR",44.5645659,-123.2620435
1999,Recruit,Shaheed Richardson,WDE,6-3,238,,,,0,A.B. Miller,Fontana,CA,,Signed,https://247sports.com/Player/shaheed-richardson-73925/,"Fontana, CA",34.0922947,-117.43433
1999,Recruit,Sean Bubin,OT,6-7,265,,,,0,Rantoul Township,Rantoul,IL,,Signed,https://247sports.com/Player/sean-bubin-73928/,"Rantoul, IL",40.3083672,-88.1558785
1999,Recruit,Jim Ferguson,OG,6-4,270,,,,0,Morton,Morton,IL,,Signed,https://247sports.com/Player/jim-ferguson-73930/,"Morton, IL",40.6127349,-89.459323
1999,Recruit,Eric McGoey,WR,6-3,182,,,,0,Wheaton Warrenville South,Wheaton,IL,,Signed,https://247sports.com/Player/eric-mcgoey-73932/,"Wheaton, IL",41.8646959,-88.1101709
1999,Recruit,Chris Morton,PRO,6-3,170,,,,0,Riverview Gardens,St. Louis,MO,,Signed,https://247sports.com/Player/chris-morton-73934/,"St. Louis, MO",38.6254063,-90.190009
1999,Recruit,Ty Myers,OLB,6-4,200,,,,0,Northeastern,Springfield,OH,,Signed,https://247sports.com/Player/ty-myers-73936/,"Springfield, OH",39.9234046,-83.810138
1999,Recruit,Chris Rucks,OT,6-6,265,,,,0,Adlai Stevenson,Lincolnshire,IL,,Signed,https://247sports.com/Player/chris-rucks-73938/,"Lincolnshire, IL",42.1900249,-87.9084039
1999,Recruit,Dwayne Smith,WR,6-2,175,,,,0,Rantoul Township,Rantoul,IL,,Signed,https://247sports.com/Player/dwayne-smith-73940/,"Rantoul, IL",40.3083672,-88.1558785
1999,Recruit,Aaron Hodges,OT,6-5,270,,,,0,Rich Township,Olympia Fields,IL,,Signed,https://247sports.com/Player/aaron-hodges-73916/,"Olympia Fields, IL",41.5164045,-87.7028957
1999,Recruit,Jim Bloodworth,OT,6-5,255,,,,0,Warren Hills Reg Sch,Washington,NJ,,Signed,https://247sports.com/Player/jim-bloodworth-73951/,"Washington, NJ",40.7584793,-74.9794987
1999,Recruit,Carey Davis,RB,6-0,220,,,,0,Hazelwood Central,Florissant,MO,,Signed,https://247sports.com/Player/carey-davis-73961/,"Florissant, MO",38.7919683,-90.3227803
