Class Year,Type,Name,Position,Height,Weight,Transfer Rating,HS Rating,Transfer Stars,HS Stars,High School,Hometown City,Hometown State,Previous School,Status,Profile URL,location,lat,lon
1999,Recruit,Jeremi Johnson,FB,5-11,265,,,,0,Louisville Central,Louisville,KY,,Signed,https://247sports.com/Player/jeremi-johnson-74972/,"Louisville, KY",38.2542376,-85.759407
1999,Recruit,Brian Lewis,RB,5-10,200,,,,0,Pattonville,Maryland Heights,MO,,Signed,https://247sports.com/Player/brian-lewis-74944/,"Maryland Heights, MO",38.7150511,-90.435999
1999,Recruit,Clarence Young,S,6-1,190,,,,0,Pershing,Detroit,MI,,Signed,https://247sports.com/Player/clarence-young-74946/,"Detroit, MI",42.3315509,-83.0466403
1999,Recruit,Kris Dielman,OLB,6-4,240,,,,0,Troy,Troy,OH,,Signed,https://247sports.com/Player/kris-dielman-74951/,"Troy, OH",40.0394982,-84.2032767
1999,Recruit,Kenneth Gibson,TE,6-7,240,,,,0,Pershing,Detroit,MI,,Signed,https://247sports.com/Player/kenneth-gibson-74954/,"Detroit, MI",42.3315509,-83.0466403
1999,Recruit,Joe Gonzalez,CB,5-11,180,,,,0,St. Ignatius,Cleveland,OH,,Signed,https://247sports.com/Player/joe-gonzalez-74958/,"Cleveland, OH",41.4996574,-81.6936772
1999,Recruit,Michael Hanley,S,6-1,170,,,,0,Owensboro,Owensboro,KY,,Signed,https://247sports.com/Player/michael-hanley-74960/,"Owensboro, KY",37.7742152,-87.1133304
1999,Recruit,Darvin Nunn,OLB,6-2,210,,,,0,Pershing,Detroit,MI,,Signed,https://247sports.com/Player/darvin-nunn-74962/,"Detroit, MI",42.3315509,-83.0466403
1999,Recruit,Duane Stone,RB,5-10,170,,,,0,Evanston Township,Evanston,IL,,Signed,https://247sports.com/Player/duane-stone-74965/,"Evanston, IL",42.0470043,-87.6846053
1999,Recruit,A.C. Carter,RB,5-9,180,,,,0,Princeton,Cincinnati,OH,,Signed,https://247sports.com/Player/ac-carter-74967/,"Cincinnati, OH",39.1012809,-84.5127405
1999,Recruit,Colin Christopher,OLB,6-1,260,,,,0,Ottawa Hills,Grand Rapids,MI,,Signed,https://247sports.com/Player/colin-christopher-74968/,"Grand Rapids, MI",42.9632425,-85.6678639
1999,Recruit,Terrance Dawson,WDE,6-4,280,,,,0,Harding,Warren,OH,,Signed,https://247sports.com/Player/terrance-dawson-74969/,"Warren, OH",39.4203978,-84.180897
1999,Recruit,Robert Brown,OLB,6-2,215,,,,0,Paul Harding,Fort Wayne,IN,,Signed,https://247sports.com/Player/robert-brown-74942/,"Fort Wayne, IN",41.0799898,-85.1386015
1999,Recruit,Scott Gennard,OLB,6-2,225,,,,0,Redford Union,Redford,MI,,Signed,https://247sports.com/Player/scott-gennard-74970/,"Redford, MI",42.3833698,-83.2965971
1999,Recruit,Glenn Johnson,WR,6-0,180,,,,0,Clewiston,Clewiston,FL,,Signed,https://247sports.com/Player/glenn-johnson-74973/,"Clewiston, FL",26.7542264,-80.9342307
1999,Recruit,Anthony Oakley,OG,6-4,285,,,,0,Westbury,Houston,TX,,Signed,https://247sports.com/Player/anthony-oakley-74974/,"Houston, TX",29.7589382,-95.3676974
1999,Recruit,Sione Ohuafi,WDE,6-4,290,,,,0,Channelview,Channelview,TX,,Signed,https://247sports.com/Player/sione-ohuafi-74975/,"Channelview, TX",29.7760599,-95.1146533
1999,Recruit,L.J. Parker,WR,6-2,215,,,,0,Ottawa Hills,Grand Rapids,MI,,Signed,https://247sports.com/Player/lj-parker-74976/,"Grand Rapids, MI",42.9632425,-85.6678639
1999,Recruit,Jade Pruitt,S,6-1,175,,,,0,Dayton,Dayton,KY,,Signed,https://247sports.com/Player/jade-pruitt-74977/,"Dayton, KY",39.1128377,-84.4727198
1999,Recruit,Johnny Anderson,CB,5-11,205,,,,0,City College of San Francisco,San Francisco,CA,,Signed,https://247sports.com/Player/johnny-anderson-74978/,"San Francisco, CA",37.7879363,-122.4075201
1999,Recruit,James Atkins,SDE,6-6,300,,,,0,Nassau C.C.,Garden City,NY,,Signed,https://247sports.com/Player/james-atkins-74981/,"Garden City, NY",40.7266477,-73.6343052
1999,Recruit,Jerry Dorsey,WR,6-0,175,,,,0,City College of San Francisco,San Francisco,CA,,Signed,https://247sports.com/Player/jerry-dorsey-74984/,"San Francisco, CA",37.7879363,-122.4075201
1999,Recruit,James Evans,OG,6-4,295,,,,0,Nassau C.C.,Garden City,NY,,Signed,https://247sports.com/Player/james-evans-74985/,"Garden City, NY",40.7266477,-73.6343052
1999,Recruit,Sharrod Moore,WDE,6-4,290,,,,0,Long Beach City College,Long Beach,CA,,Signed,https://247sports.com/Player/sharrod-moore-74988/,"Long Beach, CA",33.7690164,-118.191604
1999,Recruit,Dominque Smith,WDE,6-4,290,,,,0,Coffeyville C.C.,Coffeyville,KS,,Signed,https://247sports.com/Player/dominque-smith-74990/,"Coffeyville, KS",37.0372999,-95.6163634
2000,Recruit,Stephen Williams,SDE,6-3,275,,,,0,Bolingbrook,Bolingbrook,IL,,Enrolled,https://247sports.com/Player/stephen-williams-60586/,"Bolingbrook, IL",41.7003302,-88.0717708
2000,Recruit,Jodie Clemons,DT,6-3,230,,,,0,Sexton,Lansing,MI,,Signed,https://247sports.com/Player/jodie-clemons-71237/,"Lansing, MI",42.7338254,-84.5546295
2000,Recruit,Brandon Baker,OLB,6-1,228,,,,0,Westbury,Houston,TX,,Signed,https://247sports.com/Player/brandon-baker-71167/,"Houston, TX",29.7589382,-95.3676974
2000,Recruit,Rico Lloyd,ATH,6-1,175,,,,0,Potomac,Dumfries,VA,,Signed,https://247sports.com/Player/rico-lloyd-71169/,"Dumfries, VA",38.5674096,-77.3267652
2000,Recruit,John Lumpkin,SDE,6-3,245,,,,0,Harding,Warren,OH,,Signed,https://247sports.com/Player/john-lumpkin-71173/,"Warren, OH",39.4203978,-84.180897
2000,Recruit,Steve Williams,WDE,6-4,280,,,,0,Bolingbrook,Bolingbrook,IL,,Signed,https://247sports.com/Player/steve-williams-71177/,"Bolingbrook, IL",41.7003302,-88.0717708
2000,Recruit,Jason Fryar,OT,6-9,306,,,,0,Whiteland Community Sch,Whiteland,IN,,Signed,https://247sports.com/Player/jason-fryar-71180/,"Whiteland, IN",39.5500485,-86.0797079
2000,Recruit,Aaron Halterman,TE,6-4,225,,,,0,Center Grove,Greenwood,IN,,Signed,https://247sports.com/Player/aaron-halterman-71184/,"Greenwood, IN",39.6136987,-86.1095429
2000,Recruit,Chris Jahnke,OG,6-4,285,,,,0,Ballard,Louisville,KY,,Signed,https://247sports.com/Player/chris-jahnke-71190/,"Louisville, KY",38.2542376,-85.759407
2000,Recruit,Herana-Daze Jones,RB,6-0,203,,,,0,Iroquois Magnet Career Aca,Louisville,KY,,Signed,https://247sports.com/Player/herana-daze-jones-71209/,"Louisville, KY",38.2542376,-85.759407
2000,Recruit,David Lewis,WR,6-1,185,,,,0,Terre Haute South Vigo,Terre Haute,IN,,Signed,https://247sports.com/Player/david-lewis-71213/,"Terre Haute, IN",39.4667025,-87.4139119
2000,Recruit,Dan Phillips,OLB,6-5,245,,,,0,Penn,Mishawaka,IN,,Signed,https://247sports.com/Player/dan-phillips-71227/,"Mishawaka, IN",41.6611642,-86.1807031
2000,Recruit,Kevin Smith,OLB,6-3,203,,,,0,McKinley,Canton,OH,,Signed,https://247sports.com/Player/kevin-smith-71234/,"Canton, OH",40.7985464,-81.3749508
2000,Recruit,Ryan Hamre,TE,6-3,230,,,,0,Boone,Orlando,FL,,Signed,https://247sports.com/Player/ryan-hamre-71242/,"Orlando, FL",28.5421218,-81.379045
2000,Recruit,Travis Haney,ATH,6-5,200,,,,0,Orange Park,Orange Park,FL,,Signed,https://247sports.com/Player/travis-haney-71245/,"Orange Park, FL",30.1654707,-81.7016346
2000,Recruit,Clay Stuart,OT,6-6,295,,,,0,Cloverleaf,Lodi,OH,,Signed,https://247sports.com/Player/clay-stuart-71252/,"Lodi, OH",41.0330142,-82.012006
2000,Recruit,"Henry Frazier, III",WR,6-2,180,,,,0,Chabot College,Hayward,CA,,Signed,https://247sports.com/Player/henry-frazier-iii-71254/,"Hayward, CA",37.6688205,-122.080796
2000,Recruit,Matt Ganasci,OT,6-5,285,,,,0,Modesto College,Modesto,CA,,Signed,https://247sports.com/Player/matt-ganasci-71256/,"Modesto, CA",37.6393419,-120.9968892
2000,Recruit,Antoine Grant,OG,6-4,335,,,,0,Jones College,Ellisville,MS,,Signed,https://247sports.com/Player/antoine-grant-71257/,"Ellisville, MS",31.6047734,-89.195641
2000,Recruit,Patrick Thompson,PRO,6-0,175,,,,0,Fork Union Military,HS) (Fork Union,VA,,Signed,https://247sports.com/Player/patrick-thompson-71258/,"HS) (Fork Union, VA",37.7632986,-78.2626198
2000,Recruit,Rashon Myles,RB,6-2,210,,,,0,Abilene Christian,Abilene,TX,,Signed,https://247sports.com/Player/rashon-myles-71266/,"Abilene, TX",32.44645,-99.7475905
2000,Recruit,Prince Pack,RB,5-10,185,,,,0,St. Martin De Porres,Waukegan,IL,,Signed,https://247sports.com/Player/prince-pack-71282/,"Waukegan, IL",42.3602273,-87.8318164
2000,Recruit,Michael Robinson,WR,6-7,185,,,,0,Orrville,Orrville,OH,,Signed,https://247sports.com/Player/michael-robinson-71228/,"Orrville, OH",40.8436664,-81.7640212
2001,Recruit,Courtney Roby,WR,6-1,180,,,,0,North Central,Indianapolis,IN,,Enrolled,https://247sports.com/Player/courtney-roby-70406/,"Indianapolis, IN",39.7683331,-86.1583502
2001,Recruit,Ted Pace,OLB,6-2,210,,,,0,Dwyer,Palm Beach Gardens,FL,,Signed,https://247sports.com/Player/ted-pace-70438/,"Palm Beach Gardens, FL",26.8233946,-80.1386547
2001,Recruit,Bryan Robertson,K,5-9,160,,,,0,Seymour Senior,Seymour,IN,,Signed,https://247sports.com/Player/bryan-robertson-70384/,"Seymour, IN",38.9592201,-85.8902547
2001,Recruit,Courtney Clency,RB,5-11,185,,,,0,Park Tudor,Indianapolis,IN,,Signed,https://247sports.com/Player/courtney-clency-70387/,"Indianapolis, IN",39.7683331,-86.1583502
2001,Recruit,Jason Sullivan,RB,6-1,245,,,,0,Moore Catholic,Staten Island,NY,,Signed,https://247sports.com/Player/jason-sullivan-70405/,"Staten Island, NY",40.5834557,-74.1496048
2001,Recruit,Brandon Hatcher,OLB,6-3,248,,,,0,Cass Technical,Detroit,MI,,Signed,https://247sports.com/Player/brandon-hatcher-70409/,"Detroit, MI",42.3315509,-83.0466403
2001,Recruit,Buster Larkins,S,6-0,175,,,,0,Cathedral,Indianapolis,IN,,Signed,https://247sports.com/Player/buster-larkins-70417/,"Indianapolis, IN",39.7683331,-86.1583502
2001,Recruit,Willie Lumpkin,S,6-0,180,,,,0,Trotwood-Madison,Dayton,OH,,Signed,https://247sports.com/Player/willie-lumpkin-70422/,"Dayton, OH",39.7589478,-84.1916069
2001,Recruit,Yamar Washington,RB,6-0,190,,,,0,Klein Forest,Houston,TX,,Signed,https://247sports.com/Player/yamar-washington-70427/,"Houston, TX",29.7589382,-95.3676974
2001,Recruit,Isaac Sowells,OT,6-5,290,,,,0,Doss Magnet Career Academy,Louisville,KY,,Signed,https://247sports.com/Player/isaac-sowells-70430/,"Louisville, KY",38.2542376,-85.759407
2001,Recruit,Kyle Koester,FB,6-1,245,,,,0,Cincinnati Elder,Cincinnati,OH,,Signed,https://247sports.com/Player/kyle-koester-70381/,"Cincinnati, OH",39.1012809,-84.5127405
2001,Recruit,Leonard Bryant,CB,5-10,180,,,,0,Immokalee,Immokalee,FL,,Signed,https://247sports.com/Player/leonard-bryant-70446/,"Immokalee, FL",26.42016,-81.4222408
2001,Recruit,Damien Jones,CB,5-10,185,,,,0,Houston Sterling,Houston,TX,,Signed,https://247sports.com/Player/damien-jones-70449/,"Houston, TX",29.7589382,-95.3676974
