Class Year,Type,Name,Position,Height,Weight,Transfer Rating,HS Rating,Transfer Stars,HS Stars,High School,Hometown City,Hometown State,Previous School,Status,Profile URL,location,lat,lon
1999,Recruit,Colin Cole,DT,6-2,275,,,,0,South Plantation,Fort Lauderdale,FL,,Enrolled,https://247sports.com/Player/colin-cole-73306/,"Fort Lauderdale, FL",26.1223084,-80.1433786
1999,Recruit,Jon Beutjer,PRO,6-5,185,,,,0,Wheaton Warrenville South,Wheaton,IL,,Signed,https://247sports.com/Player/jon-beutjer-73269/,"Wheaton, IL",41.8646959,-88.1101709
1999,Recruit,Kory Borchers,SDE,6-6,260,,,,0,Le Mars,Le Mars,IA,,Signed,https://247sports.com/Player/kory-borchers-73271/,"Le Mars, IA",42.792151,-96.1662993
1999,Recruit,Adam Densmore,OG,6-4,260,,,,0,Boulder,Boulder,CO,,Signed,https://247sports.com/Player/adam-densmore-73274/,"Boulder, CO",40.0149856,-105.270545
1999,Recruit,Aaron Greving,RB,5-11,190,,,,0,Ames,Ames,IA,,Signed,https://247sports.com/Player/aaron-greving-73275/,"Ames, IA",42.0267567,-93.6170448
1999,Recruit,Jory Helms,OLB,6-2,220,,,,0,Leo Catholic,Chicago,IL,,Signed,https://247sports.com/Player/jory-helms-73276/,"Chicago, IL",41.8755616,-87.6244212
1999,Recruit,Erik Jensen,OLB,6-3,242,,,,0,Appleton East,Appleton,WI,,Signed,https://247sports.com/Player/erik-jensen-73277/,"Appleton, WI",44.2613967,-88.4069744
1999,Recruit,Nick Rahfaldt,OG,6-3,255,,,,0,Ames,Ames,IA,,Signed,https://247sports.com/Player/nick-rahfaldt-73278/,"Ames, IA",42.0267567,-93.6170448
1999,Recruit,Sam Aiello,OT,6-7,290,,,,0,Streamwood,Streamwood,IL,,Signed,https://247sports.com/Player/sam-aiello-73279/,"Streamwood, IL",42.0255827,-88.1784085
1999,Recruit,Jared Clauss,OG,6-4,245,,,,0,West Des Moines Valley,West Des Moines,IA,,Signed,https://247sports.com/Player/jared-clauss-73280/,"West Des Moines, IA",41.5644476,-93.7594059
1999,Recruit,Robert Gallery,TE,6-7,240,,,,0,East Buchanan,Winthrop,IA,,Signed,https://247sports.com/Player/robert-gallery-73281/,"Winthrop, IA",42.4733189,-91.7343327
1999,Recruit,Chris Smith,S,6-0,190,,,,0,Paris,Paris,TX,,Signed,https://247sports.com/Player/chris-smith-73286/,"Paris, TX",33.6617962,-95.555513
