Class Year,Type,Name,Position,Height,Weight,Transfer Rating,HS Rating,Transfer Stars,HS Stars,High School,Hometown City,Hometown State,Previous School,Status,Profile URL,location,lat,lon
1999,Recruit,T.J. Duckett,OLB,6-2,255,,,,0,Loy Norrix,Kalamazoo,MI,,Signed,https://247sports.com/Player/tj-duckett-74053/,"Kalamazoo, MI",42.291707,-85.5872286
1999,Recruit,Brian Ottney,OT,6-6,285,,,,0,Troy,Troy,MI,,Signed,https://247sports.com/Player/brian-ottney-74056/,"Troy, MI",42.6055893,-83.1499304
1999,Recruit,Demarco Monroe,OG,6-4,300,,,,0,Evansville Central,Evansville,IN,,Signed,https://247sports.com/Player/demarco-monroe-74058/,"Evansville, IN",37.970495,-87.5715641
1999,Recruit,Joseph Patrick,OT,6-6,310,,,,0,Ithaca,Ithaca,MI,,Signed,https://247sports.com/Player/joseph-patrick-74060/,"Ithaca, MI",43.291698,-84.6075
1999,Recruit,Kyle Rasmussen,WDE,6-4,235,,,,0,Lapeer West Senior,Lapeer,MI,,Signed,https://247sports.com/Player/kyle-rasmussen-74062/,"Lapeer, MI",43.0904764,-83.2333705
1999,Recruit,James Smith,OLB,6-3,240,,,,0,Edgewood,Ashtabula,OH,,Signed,https://247sports.com/Player/james-smith-74064/,"Ashtabula, OH",41.8647873,-80.7841284
1999,Recruit,Derek Stielstra,DT,6-4,280,,,,0,Zeeland East,Zeeland,MI,,Signed,https://247sports.com/Player/derek-stielstra-74065/,"Zeeland, MI",42.8123375,-86.0165267
1999,Recruit,Marcus Waters,ATH,6-4,210,,,,0,Booker,Sarasota,FL,,Signed,https://247sports.com/Player/marcus-waters-74066/,"Sarasota, FL",27.3365805,-82.5308545
1999,Recruit,Monquiz Wedlow,S,6-0,195,,,,0,Saginaw,Saginaw,MI,,Signed,https://247sports.com/Player/monquiz-wedlow-74067/,"Saginaw, MI",43.4200387,-83.9490365
1999,Recruit,Ellington Wills,DT,6-4,270,,,,0,Detroit Central,Detroit,MI,,Signed,https://247sports.com/Player/ellington-wills-74068/,"Detroit, MI",42.3315509,-83.0466403
1999,Recruit,Thomas Wright,S,6-2,180,,,,0,Lake Wales,Lake Wales,FL,,Signed,https://247sports.com/Player/thomas-wright-74070/,"Lake Wales, FL",27.9014133,-81.5859099
