Class Year,Type,Name,Position,Height,Weight,Transfer Rating,HS Rating,Transfer Stars,HS Stars,High School,Hometown City,Hometown State,Previous School,Status,Profile URL,location,lat,lon
1999,Recruit,Tyrece Butler,WR,6-5,200,,,,0,Decatur Central,Indianapolis,IN,,Signed,https://247sports.com/Player/tyrece-butler-74191/,"Indianapolis, IN",39.7683331,-86.1583502
1999,Recruit,Tony Pape,OT,6-7,290,,,,0,Hinsdale South,Darien,IL,,Signed,https://247sports.com/Player/tony-pape-74195/,"Darien, IL",41.7508713,-87.9739593
1999,Recruit,Demetrious Solomon,OT,6-7,260,,,,0,Northern Commencement Academy,Flint,MI,,Signed,https://247sports.com/Player/demetrious-solomon-74198/,"Flint, MI",43.0161693,-83.6900211
1999,Recruit,B.J. Askew,RB,6-3,210,,,,0,Colerain,Cincinnati,OH,,Signed,https://247sports.com/Player/bj-askew-74202/,"Cincinnati, OH",39.1012809,-84.5127405
1999,Recruit,Ryan Beard,RB,5-10,203,,,,0,Cy Falls,Houston,TX,,Signed,https://247sports.com/Player/ryan-beard-74213/,"Houston, TX",29.7589382,-95.3676974
1999,Recruit,Ronald Bellamy,WR,6-1,175,,,,0,Archbishop Shaw,Marrero,LA,,Signed,https://247sports.com/Player/ronald-bellamy-74215/,"Marrero, LA",29.8835055,-90.1184486
1999,Recruit,Norman Boebert,SDE,6-5,251,,,,0,Cactus,Glendale,AZ,,Signed,https://247sports.com/Player/norman-boebert-74217/,"Glendale, AZ",33.5386858,-112.185994
1999,Recruit,Grant Bowman,WDE,6-3,258,,,,0,St. Francis de Sales,Toledo,OH,,Signed,https://247sports.com/Player/grant-bowman-74222/,"Toledo, OH",41.6529143,-83.5378173
1999,Recruit,Phillip Brackins,S,6-3,190,,,,0,Gatlinburg Pittman,Gatlinburg,TN,,Signed,https://247sports.com/Player/phillip-brackins-74225/,"Gatlinburg, TN",35.714259,-83.5101638
1999,Recruit,Andy Brown,OG,6-3,285,,,,0,Grand Ledge,Grand Ledge,MI,,Signed,https://247sports.com/Player/andy-brown-74227/,"Grand Ledge, MI",42.7524401,-84.7463572
1999,Recruit,Brent Cummings,RB,5-11,180,,,,0,Belding,Belding,MI,,Signed,https://247sports.com/Player/brent-cummings-74230/,"Belding, MI",43.09781,-85.228906
1999,Recruit,Carl Diggs,OLB,6-2,220,,,,0,Harding,Warren,OH,,Signed,https://247sports.com/Player/carl-diggs-74232/,"Warren, OH",39.4203978,-84.180897
1999,Recruit,Charles Drake,RB,6-1,185,,,,0,Westchester Senior,Los Angeles,CA,,Signed,https://247sports.com/Player/charles-drake-74237/,"Los Angeles, CA",34.0536909,-118.242766
1999,Recruit,Jeremy LeSueur,S,6-1,185,,,,0,Holly Springs,Holly Springs,MS,,Signed,https://247sports.com/Player/jeremy-lesueur-74242/,"Holly Springs, MS",34.76801,-89.4478784
1999,Recruit,Andy Mignery,PRO,6-4,225,,,,0,Hamilton,Hamilton,OH,,Signed,https://247sports.com/Player/andy-mignery-74245/,"Hamilton, OH",39.2085354,-84.5501874
1999,Recruit,Courtney Morgan,OG,6-2,318,,,,0,Westchester Senior,Los Angeles,CA,,Signed,https://247sports.com/Player/courtney-morgan-74252/,"Los Angeles, CA",34.0536909,-118.242766
1999,Recruit,John Navarre,PRO,6-6,220,,,,0,Cudahy,Cudahy,WI,,Signed,https://247sports.com/Player/john-navarre-74254/,"Cudahy, WI",42.959738,-87.861471
1999,Recruit,Shantee Orr,OLB,6-1,220,,,,0,Denby,Detroit,MI,,Signed,https://247sports.com/Player/shantee-orr-74259/,"Detroit, MI",42.3315509,-83.0466403
1999,Recruit,Dave Pearson,WDE,6-3,240,,,,0,Brighton,Brighton,MI,,Signed,https://247sports.com/Player/dave-pearson-74266/,"Brighton, MI",42.5316918,-83.7846458
1999,Recruit,Fred Russell,RB,5-9,182,,,,0,Romulus Senior,Romulus,MI,,Signed,https://247sports.com/Player/fred-russell-74271/,"Romulus, MI",42.2222614,-83.3965995
1999,Recruit,Jon Spytek,OLB,6-4,217,,,,0,Pewaukee,Pewaukee,WI,,Signed,https://247sports.com/Player/jon-spytek-74275/,"Pewaukee, WI",43.0846017,-88.2139452
1999,Recruit,Brandon Williams,CB,5-11,180,,,,0,Omaha Central,Omaha,NE,,Signed,https://247sports.com/Player/brandon-williams-74278/,"Omaha, NE",41.2587459,-95.9383758
1999,Recruit,Gregory Brooks,CB,5-11,175,,,,0,Archbishop Shaw,Marrero,LA,,Signed,https://247sports.com/Player/gregory-brooks-74281/,"Marrero, LA",29.8835055,-90.1184486
1999,Recruit,Jonathan Shaw,RB,6-0,190,,,,0,St. Thomas Aquinas,Fort Lauderdale,FL,,Signed,https://247sports.com/Player/jonathan-shaw-74284/,"Fort Lauderdale, FL",26.1223084,-80.1433786
2000,Recruit,Chris Perry,RB,6-2,215,,,,0,Fork Union Military,HS) (Fork Union,VA,,Enrolled,https://247sports.com/Player/chris-perry-72290/,"HS) (Fork Union, VA",37.7632986,-78.2626198
2000,Recruit,James Taylor,WR,6-3,185,,,,0,Garfield Heights,Cleveland,OH,,Signed,https://247sports.com/Player/james-taylor-72292/,"Cleveland, OH",41.4996574,-81.6936772
2000,Recruit,Markus Curry,WR,6-0,185,,,,0,Harper Woods,Harper Woods,MI,,Signed,https://247sports.com/Player/markus-curry-72248/,"Harper Woods, MI",42.4333367,-82.9238847
