Class Year,Type,Name,Position,Height,Weight,Transfer Rating,HS Rating,Transfer Stars,HS Stars,High School,Hometown City,Hometown State,Previous School,Status,Profile URL,location,lat,lon
1999,Recruit,Matt McIntosh,OT,6-8,275,,,,0,Arrowhead,Hartland,WI,,Signed,https://247sports.com/Player/matt-mcintosh-73114/,"Hartland, WI",43.105008,-88.3420398
1999,Recruit,Thomas Tapeh,RB,6-1,220,,,,0,Johnson Senior,Saint Paul,MN,,Signed,https://247sports.com/Player/thomas-tapeh-73118/,"Saint Paul, MN",44.9497487,-93.0931028
1999,Recruit,Maurice White,SDE,6-5,260,,,,0,Pershing,Detroit,MI,,Signed,https://247sports.com/Player/maurice-white-73121/,"Detroit, MI",42.3315509,-83.0466403
1999,Recruit,Phillip Archer,OLB,6-2,240,,,,0,Cretin Derham Hall,Saint Paul,MN,,Signed,https://247sports.com/Player/phillip-archer-73123/,"Saint Paul, MN",44.9497487,-93.0931028
1999,Recruit,Anthony Dabruzzi,OT,6-8,280,,,,0,Stillwater Area,Stillwater,MN,,Signed,https://247sports.com/Player/anthony-dabruzzi-73126/,"Stillwater, MN",45.0559126,-92.807572
1999,Recruit,Tony Dupree,OLB,6-2,220,,,,0,James J Ferris,Jersey City,NJ,,Signed,https://247sports.com/Player/tony-dupree-73129/,"Jersey City, NJ",40.7215682,-74.047455
1999,Recruit,Dan Gitlewski,TE,6-6,255,,,,0,Oak Creek,Oak Creek,WI,,Signed,https://247sports.com/Player/dan-gitlewski-73132/,"Oak Creek, WI",42.898729,-87.9177966
1999,Recruit,Benji Kamrath,PRO,6-3,195,,,,0,Mayville,Mayville,WI,,Signed,https://247sports.com/Player/benji-kamrath-73135/,"Mayville, WI",43.4942003,-88.5448237
1999,Recruit,Dan Kwapinski,WDE,6-5,242,,,,0,Lisbon,Lisbon,ND,,Signed,https://247sports.com/Player/dan-kwapinski-73142/,"Lisbon, ND",46.441634,-97.68121
1999,Recruit,Dan Nystrom,K,5-11,205,,,,0,Robbinsdale Cooper,Minneapolis,MN,,Signed,https://247sports.com/Player/dan-nystrom-73146/,"Minneapolis, MN",44.9772995,-93.2654692
1999,Recruit,Tony Patterson,PRO,6-3,190,,,,0,Belleville East,Belleville,IL,,Signed,https://247sports.com/Player/tony-patterson-73147/,"Belleville, IL",38.5135805,-89.9841627
1999,Recruit,Ben Utecht,TE,6-6,220,,,,0,Hastings,Hastings,MN,,Signed,https://247sports.com/Player/ben-utecht-73150/,"Hastings, MN",44.7426933,-92.8518697
1999,Recruit,Eli Ward,S,6-1,190,,,,0,Garfield,Akron,OH,,Signed,https://247sports.com/Player/eli-ward-73152/,"Akron, OH",41.083064,-81.518485
1999,Recruit,Michael Galloway,S,6-1,190,,,,0,Whetstone,Columbus,OH,,Signed,https://247sports.com/Player/michael-galloway-73156/,"Columbus, OH",39.9622601,-83.0007065
1999,Recruit,Adam Johnson,WDE,6-7,225,,,,0,Greenway Senior,Cook,MN,,Signed,https://247sports.com/Player/adam-johnson-73160/,"Cook, MN",47.9149076,-90.47301
1999,Recruit,Paul Nixon,OLB,6-3,205,,,,0,Mifflin,Columbus,OH,,Signed,https://247sports.com/Player/paul-nixon-73163/,"Columbus, OH",39.9622601,-83.0007065
1999,Recruit,Andre Brown,CB,5-9,180,,,,0,Fort Scott C.C.,Fort Scott,KS,,Signed,https://247sports.com/Player/andre-brown-73169/,"Fort Scott, KS",37.8399791,-94.7082882
1999,Recruit,David Moala,ILB,5-11,220,,,,0,El Camino College,Torrance,CA,,Signed,https://247sports.com/Player/david-moala-73174/,"Torrance, CA",33.8371392,-118.3413606
1999,Recruit,Asad Abdul-Khaliq,PRO,6-2,195,,,,0,Fork Union Military Academy,Fork Union,VA,,Signed,https://247sports.com/Player/asad-abdul-khaliq-73179/,"Fork Union, VA",37.7632986,-78.2626198
1999,Recruit,Chris Smith,DT,6-4,290,,,,0,New Milford,New Milford,CT,,Signed,https://247sports.com/Player/chris-smith-73182/,"New Milford, CT",41.5770993,-73.4105803
2000,Recruit,Dominique Sims,ATH,6-2,195,,,,0,De La Salle,Minneapolis,MN,,Signed,https://247sports.com/Player/dominique-sims-72299/,"Minneapolis, MN",44.9772995,-93.2654692
2000,Recruit,Justin Fraley,S,6-0,190,,,,0,Benedictine,Cleveland,OH,,Signed,https://247sports.com/Player/justin-fraley-72302/,"Cleveland, OH",41.4996574,-81.6936772
2000,Recruit,Mark McElroy,OG,6-4,295,,,,0,Cretin Derham Hall,Saint Paul,MN,,Signed,https://247sports.com/Player/mark-mcelroy-72303/,"Saint Paul, MN",44.9497487,-93.0931028
2000,Recruit,Rian Melander,SDE,6-6,267,,,,0,Cretin Derham Hall,Saint Paul,MN,,Signed,https://247sports.com/Player/rian-melander-72306/,"Saint Paul, MN",44.9497487,-93.0931028
2000,Recruit,Josh Plisch,OG,6-4,290,,,,0,D C Everest,Schofield,WI,,Signed,https://247sports.com/Player/josh-plisch-72308/,"Schofield, WI",44.9096907,-89.6045659
2000,Recruit,Marcus Sanders,RB,5-11,185,,,,0,Ravenna,Ravenna,OH,,Signed,https://247sports.com/Player/marcus-sanders-72309/,"Ravenna, OH",41.157557,-81.242047
2000,Recruit,Ricky Wymer,OT,6-9,325,,,,0,Westerville North,Westerville,OH,,Signed,https://247sports.com/Player/ricky-wymer-72311/,"Westerville, OH",40.126139,-82.9295287
2000,Recruit,Jason Green,SDE,6-3,245,,,,0,Orange,Orange,NJ,,Signed,https://247sports.com/Player/jason-green-72316/,"Orange, NJ",40.7709499,-74.2264601
2000,Recruit,Terry Jackson,ATH,5-11,190,,,,0,Saginaw,Saginaw,MI,,Signed,https://247sports.com/Player/terry-jackson-72318/,"Saginaw, MI",43.4200387,-83.9490365
2000,Recruit,Keith Matthews,WR,6-3,185,,,,0,Archbishop Hoban,Akron,OH,,Signed,https://247sports.com/Player/keith-matthews-72321/,"Akron, OH",41.083064,-81.518485
2000,Recruit,Larry Pinson,FB,6-2,220,,,,0,Eagan Senior,Saint Paul,MN,,Signed,https://247sports.com/Player/larry-pinson-72325/,"Saint Paul, MN",44.9497487,-93.0931028
2000,Recruit,Peter Prudden,SDE,6-5,270,,,,0,Breck School,Minneapolis,MN,,Signed,https://247sports.com/Player/peter-prudden-72330/,"Minneapolis, MN",44.9772995,-93.2654692
2000,Recruit,Chad Redmond,FB,6-4,255,,,,0,Apple Valley,Apple Valley,MN,,Signed,https://247sports.com/Player/chad-redmond-72338/,"Apple Valley, MN",44.7319094,-93.21772
2000,Recruit,Darrell Reid,OLB,6-3,240,,,,0,Freehold Borough,Freehold,NJ,,Signed,https://247sports.com/Player/darrell-reid-72342/,"Freehold, NJ",40.2601096,-74.2737573
2000,Recruit,Art Smith,OG,6-10,315,,,,0,Brookhaven,Columbus,OH,,Signed,https://247sports.com/Player/art-smith-72348/,"Columbus, OH",39.9622601,-83.0007065
2000,Recruit,Eric Stenzel,OLB,6-3,240,,,,0,Mankato West,Mankato,MN,,Signed,https://247sports.com/Player/eric-stenzel-72352/,"Mankato, MN",44.1658533,-94.0028013
2000,Recruit,Steve Watson,OLB,6-3,225,,,,0,Francis Howell,St. Charles,MO,,Signed,https://247sports.com/Player/steve-watson-72360/,"St. Charles, MO",38.7877791,-90.6747372
2000,Recruit,Ukee Dozier,CB,5-11,185,,,,0,Brandon,Brandon,FL,,Signed,https://247sports.com/Player/ukee-dozier-72366/,"Brandon, FL",27.928464,-82.2880508
2000,Recruit,Brandon Harston,SDE,6-2,288,,,,0,North Crowley,Fort Worth,TX,,Signed,https://247sports.com/Player/brandon-harston-72370/,"Fort Worth, TX",32.753177,-97.3327459
2000,Recruit,Demetrus Johnson,SDE,6-3,255,,,,0,Bay View,Milwaukee,WI,,Signed,https://247sports.com/Player/demetrus-johnson-72375/,"Milwaukee, WI",43.0386475,-87.9090751
2000,Recruit,Mackenzy Toussaint,S,6-0,177,,,,0,North Miami,Miami,FL,,Signed,https://247sports.com/Player/mackenzy-toussaint-72379/,"Miami, FL",25.7741566,-80.1935973
2000,Recruit,Timothy Ward,SDE,6-3,255,,,,0,Bay View,Milwaukee,WI,,Signed,https://247sports.com/Player/timothy-ward-72386/,"Milwaukee, WI",43.0386475,-87.9090751
2000,Recruit,Antonie Burns,WR,6-0,197,,,,0,Rochester CTC,Rochester,MN,,Signed,https://247sports.com/Player/antonie-burns-72391/,"Rochester, MN",44.0234387,-92.4630182
2000,Recruit,Travis Cole,PRO,6-3,215,,,,0,Foothill College,Los Altos,CA,,Signed,https://247sports.com/Player/travis-cole-72394/,"Los Altos, CA",37.3790629,-122.116578
2001,Recruit,Charlton Keith,OLB,6-5,200,,,,0,Buchtel,Akron,OH,,Signed,https://247sports.com/Player/charlton-keith-70147/,"Akron, OH",41.083064,-81.518485
2001,Recruit,Keith Lipka,SDE,6-6,260,,,,0,Oak Creek,Oak Creek,WI,,Signed,https://247sports.com/Player/keith-lipka-70118/,"Oak Creek, WI",42.898729,-87.9177966
2001,Recruit,Danny Upchurch,CB,5-9,170,,,,0,Brookhaven,Columbus,OH,,Signed,https://247sports.com/Player/danny-upchurch-70123/,"Columbus, OH",39.9622601,-83.0007065
2001,Recruit,Jarod Posthumus,PRO,6-4,230,,,,0,Becker,Becker,MN,,Signed,https://247sports.com/Player/jarod-posthumus-70127/,"Becker, MN",46.9298236,-95.6761851
2001,Recruit,Marion Barber,RB,5-11,190,,,,0,Wayzata,Plymouth,MN,,Signed,https://247sports.com/Player/marion-barber-70131/,"Plymouth, MN",45.0065149,-93.46651
2001,Recruit,Ken Williams,RB,6-2,170,,,,0,Bedford,Bedford,OH,,Signed,https://247sports.com/Player/ken-williams-70134/,"Bedford, OH",41.39311,-81.536509
2001,Recruit,Trevor McCullouch,OT,6-5,275,,,,0,Brainerd,Brainerd,MN,,Signed,https://247sports.com/Player/trevor-mccullouch-70136/,"Brainerd, MN",46.3580221,-94.2008288
2001,Recruit,Mike Nicholson,OT,6-5,270,,,,0,River Falls,River Falls,WI,,Signed,https://247sports.com/Player/mike-nicholson-70138/,"River Falls, WI",44.8596498,-92.6255048
2001,Recruit,Damien Haye,DT,6-2,250,,,,0,American,Hialeah,FL,,Signed,https://247sports.com/Player/damien-haye-70140/,"Hialeah, FL",25.8267775,-80.2814009
2001,Recruit,Mark Losli,SDE,6-7,235,,,,0,Spring Lake Park,Minneapolis,MN,,Signed,https://247sports.com/Player/mark-losli-70141/,"Minneapolis, MN",44.9772995,-93.2654692
2001,Recruit,Rob Kraemer,SDE,6-4,280,,,,0,Forest Lake,Forest Lake,MN,,Signed,https://247sports.com/Player/rob-kraemer-70115/,"Forest Lake, MN",45.279106,-92.9851629
2001,Recruit,Terrance Campbell,OLB,6-3,205,,,,0,Douglass,Atlanta,GA,,Signed,https://247sports.com/Player/terrance-campbell-70144/,"Atlanta, GA",33.7544657,-84.3898151
2001,Recruit,Diamos Demerritt,RB,5-11,197,,,,0,Miami Norland,Miami,FL,,Signed,https://247sports.com/Player/diamos-demerritt-70148/,"Miami, FL",25.7741566,-80.1935973
2001,Recruit,Jerrod Ellerson,WR,6-2,170,,,,0,Copley,Akron,OH,,Signed,https://247sports.com/Player/jerrod-ellerson-70149/,"Akron, OH",41.083064,-81.518485
2001,Recruit,Jakari Wallace,WR,5-10,170,,,,0,Boyd Anderson,Fort Lauderdale,FL,,Signed,https://247sports.com/Player/jakari-wallace-70151/,"Fort Lauderdale, FL",26.1223084,-80.1433786
2001,Recruit,Richard Ellman,OT,6-5,300,,,,0,Oconto,Oconto,WI,,Signed,https://247sports.com/Player/richard-ellman-70157/,"Oconto, WI",44.9988053,-88.2480072
2001,Recruit,Brandon Hall,OT,6-5,285,,,,0,Finney,Detroit,MI,,Signed,https://247sports.com/Player/brandon-hall-70159/,"Detroit, MI",42.3315509,-83.0466403
2001,Recruit,Jerry Barnes,SDE,6-6,230,,,,0,Kettering,Detroit,MI,,Signed,https://247sports.com/Player/jerry-barnes-70162/,"Detroit, MI",42.3315509,-83.0466403
2001,Recruit,Bradley Vance,OLB,6-1,211,,,,0,Thornwood,South Holland,IL,,Signed,https://247sports.com/Player/bradley-vance-70167/,"South Holland, IL",41.6008681,-87.6069894
2001,Recruit,Matthew Bass,CB,5-10,175,,,,0,McArthur,Hollywood,FL,,Signed,https://247sports.com/Player/matthew-bass-70170/,"Hollywood, FL",26.0112014,-80.1494901
2001,Recruit,Derrick Saunders,CB,5-11,175,,,,0,Glades Central,Belle Glade,FL,,Signed,https://247sports.com/Player/derrick-saunders-70186/,"Belle Glade, FL",26.6845104,-80.6675577
2002,Recruit,Anthony Montgomery,SDE,6-6,270,,,,0,John F. Kennedy,Cleveland,OH,,Enrolled,https://247sports.com/Player/anthony-montgomery-50908/,"Cleveland, OH",41.4996574,-81.6936772
2002,Recruit,Trumaine Banks,CB,6-0,180,,,,0,Eastmoor Academy,Columbus,OH,,Enrolled,https://247sports.com/Player/trumaine-banks-50860/,"Columbus, OH",39.9622601,-83.0007065
2002,Recruit,Maurice Buchanan,SDE,6-4,230,,,,0,Hopkins,Hopkins,MN,,Enrolled,https://247sports.com/Player/maurice-buchanan-50862/,"Hopkins, MN",44.9243986,-93.4114487
2002,Recruit,Eric Clark,SDE,6-5,240,,,,0,Tampa Bay Tech,Tampa,FL,,Enrolled,https://247sports.com/Player/eric-clark-50865/,"Tampa, FL",27.9449854,-82.4583107
2002,Recruit,Bryan Cupito,PRO,6-3,180,,,,0,Archbishop Moeller,Cincinnati,OH,,Enrolled,https://247sports.com/Player/bryan-cupito-50867/,"Cincinnati, OH",39.1012809,-84.5127405
2002,Recruit,Guillermo Davis,S,6-0,195,,,,0,Belleville West,Belleville,IL,,Enrolled,https://247sports.com/Player/guillermo-davis-50869/,"Belleville, IL",38.5135805,-89.9841627
2002,Recruit,Greg Eslinger,OG,6-3,250,,,,0,Bismarck,Bismarck,ND,,Enrolled,https://247sports.com/Player/greg-eslinger-50872/,"Bismarck, ND",46.808327,-100.783739
2002,Recruit,Brian Goblirsch,OG,6-3,250,,,,0,Eagan Senior,Saint Paul,MN,,Enrolled,https://247sports.com/Player/brian-goblirsch-50878/,"Saint Paul, MN",44.9497487,-93.0931028
2002,Recruit,Kenny Harper,K,6-0,165,,,,0,Hamilton,Hamilton,OH,,Enrolled,https://247sports.com/Player/kenny-harper-50879/,"Hamilton, OH",39.2085354,-84.5501874
2002,Recruit,Stephon Hopkins,RB,6-2,230,,,,0,Renaissance,Detroit,MI,,Enrolled,https://247sports.com/Player/stephon-hopkins-50883/,"Detroit, MI",42.3315509,-83.0466403
2002,Recruit,Aaron Hosack,WR,6-6,210,,,,0,Mt. San Antonio College,Walnut,CA,,Enrolled,https://247sports.com/Player/aaron-hosack-50905/,"Walnut, CA",34.0203253,-117.8659441
2002,Recruit,Joe Ainslie,OG,6-7,305,,,,0,Hopkins,Hopkins,MN,,Enrolled,https://247sports.com/Player/joe-ainslie-50859/,"Hopkins, MN",44.9243986,-93.4114487
2002,Recruit,Pierre Jackson,WR,6-2,175,,,,0,Harper,Chicago,IL,,Enrolled,https://247sports.com/Player/pierre-jackson-50907/,"Chicago, IL",41.8755616,-87.6244212
2002,Recruit,Brian Moss,OT,6-7,250,,,,0,Hazelwood Central,Florissant,MO,,Enrolled,https://247sports.com/Player/brian-moss-50909/,"Florissant, MO",38.7919683,-90.3227803
2002,Recruit,Greg Pruitt Jr.,APB,5-8,195,,,,0,Shaker Heights,Cleveland,OH,,Enrolled,https://247sports.com/Player/greg-pruitt-jr-50910/,"Cleveland, OH",41.4996574,-81.6936772
