Class Year,Type,Name,Position,Height,Weight,Transfer Rating,HS Rating,Transfer Stars,HS Stars,High School,Hometown City,Hometown State,Previous School,Status,Profile URL,location,lat,lon
1999,Recruit,Ryon Bingham,SDE,6-3,270,,,,0,Alta,Sandy,UT,,Signed,https://247sports.com/Player/ryon-bingham-73855/,"Sandy, UT",40.5710454,-111.8953815
1999,Recruit,Rob Blomeier,CB,5-11,185,,,,0,Manheim Township,Lancaster,PA,,Signed,https://247sports.com/Player/rob-blomeier-73857/,"Lancaster, PA",40.0379958,-76.3056707
1999,Recruit,Shaun Coleman,OLB,6-4,210,,,,0,Regis Jesuit,Aurora,CO,,Signed,https://247sports.com/Player/shaun-coleman-73859/,"Aurora, CO",39.7401441,-104.8733376
1999,Recruit,Judd Davies,FB,6-1,238,,,,0,Millard North,Omaha,NE,,Signed,https://247sports.com/Player/judd-davies-73861/,"Omaha, NE",41.2587459,-95.9383758
1999,Recruit,Josh Davis,RB,5-11,190,,,,0,Loveland,Loveland,CO,,Signed,https://247sports.com/Player/josh-davis-73862/,"Loveland, CO",40.3977612,-105.07498
1999,Recruit,Toniu Fonoti,OG,6-4,300,,,,0,Kahuku,Kahuku,HI,,Signed,https://247sports.com/Player/toniu-fonoti-73864/,"Kahuku, HI",21.679124,-157.94838
1999,Recruit,John Garrison,SDE,6-5,265,,,,0,Blue Springs,Blue Springs,MO,,Signed,https://247sports.com/Player/john-garrison-73866/,"Blue Springs, MO",39.017316,-94.282265
1999,Recruit,Tim Green,OT,6-5,305,,,,0,Omaha Westside,Omaha,NE,,Signed,https://247sports.com/Player/tim-green-73868/,"Omaha, NE",41.2587459,-95.9383758
1999,Recruit,Patrick Kabongo,SDE,6-6,315,,,,0,Vanier College,Montreal,QC,,Signed,https://247sports.com/Player/patrick-kabongo-73870/,"Montreal, QC",45.5031824,-73.5698065
1999,Recruit,Chris Loos,OG,6-3,300,,,,0,Lincoln Southeast,Lincoln,NE,,Signed,https://247sports.com/Player/chris-loos-73871/,"Lincoln, NE",40.8088861,-96.7077751
1999,Recruit,Jamal Lord,PRO,6-3,195,,,,0,Bayonne,Bayonne,NJ,,Signed,https://247sports.com/Player/jamal-lord-73872/,"Bayonne, NJ",40.6687141,-74.1143091
1999,Recruit,Robin Miller,RB,5-11,220,,,,0,Kent Meridian,Kent,WA,,Signed,https://247sports.com/Player/robin-miller-73876/,"Kent, WA",47.3826903,-122.2270272
1999,Recruit,Carl Crawford,PRO,6-2,205,,,,0,Davis,Houston,TX,,Signed,https://247sports.com/Player/carl-crawford-73878/,"Houston, TX",29.7589382,-95.3676974
1999,Recruit,Jon Dawson,OG,6-3,285,,,,0,Cheyenne Central,Cheyenne,WY,,Signed,https://247sports.com/Player/jon-dawson-73880/,"Cheyenne, WY",41.139981,-104.820246
1999,Recruit,Taylor Gehman,CB,5-11,190,,,,0,Omaha Northwest,Omaha,NE,,Signed,https://247sports.com/Player/taylor-gehman-73884/,"Omaha, NE",41.2587459,-95.9383758
1999,Recruit,Trevor Johnson,TE,6-5,225,,,,0,Lincoln Northeast,Lincoln,NE,,Signed,https://247sports.com/Player/trevor-johnson-73889/,"Lincoln, NE",40.8088861,-96.7077751
1999,Recruit,Blanchard Johnson III,ILB,6-0,200,,,,0,St. Albert,Council Bluffs,IA,,Signed,https://247sports.com/Player/blanchard-johnson-iii-73893/,"Council Bluffs, IA",41.258841,-95.8519484
