Class Year,Type,Name,Position,Height,Weight,Transfer Rating,HS Rating,Transfer Stars,HS Stars,High School,Hometown City,Hometown State,Previous School,Status,Profile URL,location,lat,lon
1999,Recruit,Jon Schweighardt,WR,5-10,170,,,,0,Wheaton Warrenville South,Wheaton,IL,,Signed,https://247sports.com/Player/jon-schweighardt-73436/,"Wheaton, IL",41.8646959,-88.1101709
1999,Recruit,Chris Brown,RB,6-3,205,,,,0,Naperville North,Naperville,IL,,Signed,https://247sports.com/Player/chris-brown-73372/,"Naperville, IL",41.7728699,-88.1479278
1999,Recruit,Vince Cartaya,OLB,6-4,225,,,,0,Belen Jesuit Prep,Miami,FL,,Signed,https://247sports.com/Player/vince-cartaya-73375/,"Miami, FL",25.7741566,-80.1935973
1999,Recruit,Regis Eller,OLB,6-1,225,,,,0,Breck School,Minneapolis,MN,,Signed,https://247sports.com/Player/regis-eller-73378/,"Minneapolis, MN",44.9772995,-93.2654692
1999,Recruit,Gabriel Nyenhuis,WDE,6-4,245,,,,0,St. Charles East,St. Charles,IL,,Signed,https://247sports.com/Player/gabriel-nyenhuis-73385/,"St. Charles, IL",41.9139808,-88.3128183
1999,Recruit,Kunle Patrick,WR,6-1,195,,,,0,Poly Prep,Brooklyn,NY,,Signed,https://247sports.com/Player/kunle-patrick-73391/,"Brooklyn, NY",40.6526006,-73.9497211
1999,Recruit,George Woods,ILB,6-2,270,,,,0,La Mirada,La Mirada,CA,,Signed,https://247sports.com/Player/george-woods-73395/,"La Mirada, CA",33.9060971,-118.0107092
1999,Recruit,Eric Worley,TE,6-4,245,,,,0,Marshfield,Marshfield,MA,,Signed,https://247sports.com/Player/eric-worley-73398/,"Marshfield, MA",42.091769,-70.7055941
1999,Recruit,Patrick Durr,OLB,6-2,225,,,,0,St. Charles East,St. Charles,IL,,Signed,https://247sports.com/Player/patrick-durr-73422/,"St. Charles, IL",41.9139808,-88.3128183
1999,Recruit,Brandon Evans,CB,5-11,185,,,,0,Harrison,Kennesaw,GA,,Signed,https://247sports.com/Player/brandon-evans-73429/,"Kennesaw, GA",34.0234337,-84.6154897
