Class Year,Type,Name,Position,Height,Weight,Transfer Rating,HS Rating,Transfer Stars,HS Stars,High School,Hometown City,Hometown State,Previous School,Status,Profile URL,location,lat,lon
1999,Recruit,Bryce Bishop,OT,6-5,310,,,,0,Miami Killian,Miami,FL,,Signed,https://247sports.com/Player/bryce-bishop-74299/,"Miami, FL",25.7741566,-80.1935973
1999,Recruit,Curtis Crosby,CB,5-11,175,,,,0,Eastmoor Academy,Columbus,OH,,Signed,https://247sports.com/Player/curtis-crosby-74300/,"Columbus, OH",39.9622601,-83.0007065
1999,Recruit,Mike Doss,CB,6-0,185,,,,0,McKinley,Canton,OH,,Signed,https://247sports.com/Player/mike-doss-74302/,"Canton, OH",40.7985464,-81.3749508
1999,Recruit,Kelton Lindsay,RB,6-1,195,,,,0,Lebanon,Lebanon,OH,,Signed,https://247sports.com/Player/kelton-lindsay-74303/,"Lebanon, OH",39.4353373,-84.2029922
1999,Recruit,Tim Anderson,SDE,6-4,270,,,,0,Clyde,Clyde,OH,,Signed,https://247sports.com/Player/tim-anderson-74307/,"Clyde, OH",41.3040468,-82.9750686
1999,Recruit,Ricky Bryant,WR,6-1,165,,,,0,Harrison,Farmington,MI,,Signed,https://247sports.com/Player/ricky-bryant-74309/,"Farmington, MI",42.4644795,-83.3763219
1999,Recruit,Adrien Clarke,OT,6-5,315,,,,0,Shaker Heights,Cleveland,OH,,Signed,https://247sports.com/Player/adrien-clarke-74310/,"Cleveland, OH",41.4996574,-81.6936772
1999,Recruit,Richard Hall,RB,6-0,205,,,,0,Wyoming,Cincinnati,OH,,Signed,https://247sports.com/Player/richard-hall-74312/,"Cincinnati, OH",39.1012809,-84.5127405
1999,Recruit,Maurice Harris,WR,6-2,200,,,,0,Raines,Jacksonville,FL,,Signed,https://247sports.com/Player/maurice-harris-74314/,"Jacksonville, FL",30.3262247,-81.6579179
1999,Recruit,Jesse Kline,RB,6-2,210,,,,0,Upper Arlington,Columbus,OH,,Signed,https://247sports.com/Player/jesse-kline-74315/,"Columbus, OH",39.9622601,-83.0007065
1999,Recruit,Craig Krenzel,PRO,6-4,215,,,,0,Ford,Detroit,MI,,Signed,https://247sports.com/Player/craig-krenzel-74316/,"Detroit, MI",42.3315509,-83.0466403
1999,Recruit,Maurice Lee,WR,5-10,170,,,,0,South,Cleveland,OH,,Signed,https://247sports.com/Player/maurice-lee-74321/,"Cleveland, OH",41.4996574,-81.6936772
1999,Recruit,Scott McMullen,PRO,6-4,195,,,,0,Granville,Granville,OH,,Signed,https://247sports.com/Player/scott-mcmullen-74325/,"Granville, OH",40.0681192,-82.5196037
1999,Recruit,Richard McNutt,CB,6-0,175,,,,0,Rich East Campus,Park Forest,IL,,Signed,https://247sports.com/Player/richard-mcnutt-74330/,"Park Forest, IL",41.4825788,-87.6802344
1999,Recruit,Pat O'Neill,OLB,6-4,215,,,,0,Walsh Jesuit,Stow,OH,,Signed,https://247sports.com/Player/pat-oneill-74334/,"Stow, OH",41.1596261,-81.4406258
1999,Recruit,"Fred Pagac, Jr.",OLB,6-2,230,,,,0,Dublin Coffman,Dublin,OH,,Signed,https://247sports.com/Player/fred-pagac-jr-74340/,"Dublin, OH",40.0996009,-83.1135563
1999,Recruit,B.J. Sander,K,6-3,195,,,,0,Roger Bacon,Cincinnati,OH,,Signed,https://247sports.com/Player/bj-sander-74350/,"Cincinnati, OH",39.1012809,-84.5127405
1999,Recruit,Fred Sturrup,SDE,6-4,270,,,,0,Plantation,Fort Lauderdale,FL,,Signed,https://247sports.com/Player/fred-sturrup-74353/,"Fort Lauderdale, FL",26.1223084,-80.1433786
1999,Recruit,Matt Wilhelm,OLB,6-5,240,,,,0,Elyria Catholic,Elyria,OH,,Signed,https://247sports.com/Player/matt-wilhelm-74378/,"Elyria, OH",41.3673191,-82.1073583
1999,Recruit,Matt Zahn,OT,6-7,360,,,,0,St Henry,Saint Henry,OH,,Signed,https://247sports.com/Player/matt-zahn-74380/,"Saint Henry, OH",40.4172689,-84.6374577
1999,Recruit,Ben Hartsock,TE,6-4,250,,,,0,Unioto,Chillicothe,OH,,Signed,https://247sports.com/Player/ben-hartsock-74383/,"Chillicothe, OH",39.3331197,-82.9824019
1999,Recruit,Drew Carter,WR,6-4,187,,,,0,Solon,Solon,OH,,Signed,https://247sports.com/Player/drew-carter-74386/,"Solon, OH",41.3897764,-81.4412259
1999,Recruit,Nate Stead,FB,6-0,255,,,,0,Harding,Marion,OH,,Signed,https://247sports.com/Player/nate-stead-74388/,"Marion, OH",40.5885271,-83.1895249
1999,Recruit,Ziyier Walker,CB,6-1,195,,,,0,Fork Union Military,HS) (Fork Union,VA,,Signed,https://247sports.com/Player/ziyier-walker-74390/,"HS) (Fork Union, VA",37.7632986,-78.2626198
2000,Recruit,Will Smith,WDE,6-4,230,,,,0,Thomas R Proctor,Utica,NY,,Enrolled,https://247sports.com/Player/will-smith-60950/,"Utica, NY",43.1009031,-75.2326641
2000,Recruit,Sam Maldonado,RB,6-2,215,,,,0,Harrison,Harrison,NY,,Enrolled,https://247sports.com/Player/sam-maldonado-50071/,"Harrison, NY",40.9689871,-73.71263
2000,Recruit,Alphonso Townsend,DT,6-6,280,,,,0,Lima Central Catholic,Lima,OH,,Enrolled,https://247sports.com/Player/alphonso-townsend-55975/,"Lima, OH",40.7399785,-84.105006
2000,Recruit,Marco Cooper,OLB,6-2,235,,,,0,Cass Technical,Detroit,MI,,Enrolled,https://247sports.com/Player/marco-cooper-50171/,"Detroit, MI",42.3315509,-83.0466403
2000,Recruit,Shane Olivea,OT,6-5,315,,,,0,Lawrence,Cedarhurst,NY,,Signed,https://247sports.com/Player/shane-olivea-71176/,"Cedarhurst, NY",40.6217711,-73.7235764
2000,Recruit,Will Smith,S,6-4,225,,,,0,Thomas R Proctor,Utica,NY,,Signed,https://247sports.com/Player/will-smith-71181/,"Utica, NY",43.1009031,-75.2326641
2000,Recruit,Cory Adams,WR,6-3,215,,,,0,Stone Mountain,Stone Mountain,GA,,Signed,https://247sports.com/Player/cory-adams-71185/,"Stone Mountain, GA",33.8062166,-84.1457505
2000,Recruit,Willie Allen,WR,6-2,185,,,,0,Norwayne,Creston,OH,,Signed,https://247sports.com/Player/willie-allen-71195/,"Creston, OH",40.9869997,-81.8937511
2000,Recruit,B.J. Barre,S,6-1,185,,,,0,Whitmer,Toledo,OH,,Signed,https://247sports.com/Player/bj-barre-71199/,"Toledo, OH",41.6529143,-83.5378173
2000,Recruit,Brandon Childress,ATH,5-10,180,,,,0,St Peter Chanel,Bedford,OH,,Signed,https://247sports.com/Player/brandon-childress-71201/,"Bedford, OH",41.39311,-81.536509
2000,Recruit,Josh Huston,K,6-2,195,,,,0,Findlay,Findlay,OH,,Signed,https://247sports.com/Player/josh-huston-71208/,"Findlay, OH",41.0413873,-83.6503982
2000,Recruit,Harlan Jacobs,S,6-0,185,,,,0,Douglass,Atlanta,GA,,Signed,https://247sports.com/Player/harlan-jacobs-71210/,"Atlanta, GA",33.7544657,-84.3898151
2000,Recruit,Brandon Joe,ATH,6-2,230,,,,0,Westerville South,Westerville,OH,,Signed,https://247sports.com/Player/brandon-joe-71212/,"Westerville, OH",40.126139,-82.9295287
2000,Recruit,Larry Kinnard,OT,6-8,290,,,,0,Alliance,Alliance,OH,,Signed,https://247sports.com/Player/larry-kinnard-71214/,"Alliance, OH",40.9153362,-81.1059309
2000,Recruit,Jamal Muhammad,OLB,6-2,235,,,,0,Stone Mountain,Stone Mountain,GA,,Signed,https://247sports.com/Player/jamal-muhammad-71225/,"Stone Mountain, GA",33.8062166,-84.1457505
2000,Recruit,Terry Pogue,ATH,6-2,220,,,,0,Colonel White Performing Arts,Dayton,OH,,Signed,https://247sports.com/Player/terry-pogue-71229/,"Dayton, OH",39.7589478,-84.1916069
2000,Recruit,Robert Reynolds,OLB,6-4,215,,,,0,Bowling Green,Bowling Green,KY,,Signed,https://247sports.com/Player/robert-reynolds-71233/,"Bowling Green, KY",36.9929203,-86.4428677
2000,Recruit,Darrion Scott,OLB,6-3,250,,,,0,Capital,Charleston,WV,,Signed,https://247sports.com/Player/darrion-scott-71236/,"Charleston, WV",38.3505995,-81.6332812
2000,Recruit,Alex Stepanovich,OG,6-4,270,,,,0,Berea,Berea,OH,,Signed,https://247sports.com/Player/alex-stepanovich-71239/,"Berea, OH",41.3661614,-81.8543026
2000,Recruit,Bobby Britton,WR,5-10,170,,,,0,Raines,Jacksonville,FL,,Signed,https://247sports.com/Player/bobby-britton-71241/,"Jacksonville, FL",30.3262247,-81.6579179
2000,Recruit,Jason Caldwell,TE,6-5,270,,,,0,Mentor,Mentor,OH,,Signed,https://247sports.com/Player/jason-caldwell-71244/,"Mentor, OH",41.6664781,-81.3399769
2000,Recruit,Michael Jenkins,OLB,6-5,200,,,,0,Leto,Tampa,FL,,Signed,https://247sports.com/Player/michael-jenkins-71246/,"Tampa, FL",27.9449854,-82.4583107
2000,Recruit,Thomas Matthews,OLB,6-1,210,,,,0,Dillard,Fort Lauderdale,FL,,Signed,https://247sports.com/Player/thomas-matthews-71248/,"Fort Lauderdale, FL",26.1223084,-80.1433786
2000,Recruit,Jack Tucker,OLB,6-2,240,,,,0,Cerritos College,Norwalk,CA,,Signed,https://247sports.com/Player/jack-tucker-71250/,"Norwalk, CA",33.9092802,-118.0849169
2000,Recruit,Andrew Lee,WR,6-2,197,,,,0,Columbus Academy,Columbus,OH,,Signed,https://247sports.com/Player/andrew-lee-71217/,"Columbus, OH",39.9622601,-83.0007065
2001,Recruit,Angelo Chattams,WR,5-11,180,,,,0,Chaminade Julienne,Dayton,OH,,Enrolled,https://247sports.com/Player/angelo-chattams-50466/,"Dayton, OH",39.7589478,-84.1916069
2001,Recruit,Reggie Arden,OLB,6-5,225,,,,0,Ironton,Ironton,OH,,Enrolled,https://247sports.com/Player/reggie-arden-50751/,"Ironton, OH",38.5367471,-82.6829406
