Class Year,Type,Name,Position,Height,Weight,Transfer Rating,HS Rating,Transfer Stars,HS Stars,High School,Hometown City,Hometown State,Previous School,Status,Profile URL,location,lat,lon
1999,Recruit,Jason Fife,PRO,6-4,205,,,,0,Temescal Canyon,Lake Elsinore,CA,,Signed,https://247sports.com/Player/jason-fife-74834/,"Lake Elsinore, CA",33.6680772,-117.3272615
1999,Recruit,Ric Cottengim,S,6-1,170,,,,0,Elk Grove,Elk Grove,CA,,Signed,https://247sports.com/Player/ric-cottengim-74815/,"Elk Grove, CA",38.4087993,-121.3716178
1999,Recruit,Keenan Howry,WR,5-10,155,,,,0,Los Alamitos,Los Alamitos,CA,,Signed,https://247sports.com/Player/keenan-howry-74816/,"Los Alamitos, CA",33.8038865,-118.0772433
1999,Recruit,Kevin Mitchell,ILB,5-11,205,,,,0,Mater Dei,Santa Ana,CA,,Signed,https://247sports.com/Player/kevin-mitchell-74818/,"Santa Ana, CA",33.7494951,-117.873221
1999,Recruit,Sammy Parker,WR,5-10,160,,,,0,Long Beach Poly,Long Beach,CA,,Signed,https://247sports.com/Player/sammy-parker-74819/,"Long Beach, CA",33.7690164,-118.191604
1999,Recruit,Josh Rogers,OLB,6-3,245,,,,0,Vacaville,Vacaville,CA,,Signed,https://247sports.com/Player/josh-rogers-74820/,"Vacaville, CA",38.3565773,-121.9877444
1999,Recruit,George Wrighster,TE,6-4,225,,,,0,Sylmar,Sylmar,CA,,Signed,https://247sports.com/Player/george-wrighster-74821/,"Sylmar, CA",34.3076252,-118.4492148
1999,Recruit,Josh Atkins,SDE,6-5,270,,,,0,Sam Barlow,Gresham,OR,,Signed,https://247sports.com/Player/josh-atkins-74823/,"Gresham, OR",45.4978623,-122.4329883
1999,Recruit,Eric Cheney,S,6-1,195,,,,0,Junction City,Junction City,OR,,Signed,https://247sports.com/Player/eric-cheney-74825/,"Junction City, OR",44.2191935,-123.204785
1999,Recruit,"Adolph Keyes, Jr.",CB,5-9,160,,,,0,Los Alamitos,Los Alamitos,CA,,Signed,https://247sports.com/Player/adolph-keyes-jr-74826/,"Los Alamitos, CA",33.8038865,-118.0772433
1999,Recruit,Kevin Mack,OLB,6-3,230,,,,0,Rio Mesa,Oxnard,CA,,Signed,https://247sports.com/Player/kevin-mack-74828/,"Oxnard, CA",34.1976308,-119.180381
1999,Recruit,Van Brown,WDE,6-4,230,,,,0,Alhambra,Alhambra,CA,,Signed,https://247sports.com/Player/van-brown-74813/,"Alhambra, CA",34.093042,-118.12706
1999,Recruit,Steve Vickers,WR,6-0,175,,,,0,Franklin,Stockton,CA,,Signed,https://247sports.com/Player/steve-vickers-74829/,"Stockton, CA",37.9577016,-121.290779
1999,Recruit,Matt Floberg,FB,6-3,210,,,,0,Portland Jesuit,Portland,OR,,Signed,https://247sports.com/Player/matt-floberg-74836/,"Portland, OR",45.5202471,-122.674194
1999,Recruit,Joe Forster,OG,6-4,275,,,,0,South Salem,Salem,OR,,Signed,https://247sports.com/Player/joe-forster-74838/,"Salem, OR",44.9391565,-123.033121
1999,Recruit,Tavan Magee,TE,6-5,255,,,,0,Washington,Fremont,CA,,Signed,https://247sports.com/Player/tavan-magee-74845/,"Fremont, CA",37.5482697,-121.988571
1999,Recruit,Danny Urquhart,ILB,6-2,225,,,,0,Washington,Fremont,CA,,Signed,https://247sports.com/Player/danny-urquhart-74849/,"Fremont, CA",37.5482697,-121.988571
1999,Recruit,Kurtis Doerr,K,6-2,215,,,,0,Glendale C.C.,Glendale,AZ,,Signed,https://247sports.com/Player/kurtis-doerr-74851/,"Glendale, AZ",33.5386858,-112.185994
1999,Recruit,Jermaine Hanspard,CB,5-11,185,,,,0,Long Beach City College,Long Beach,CA,,Signed,https://247sports.com/Player/jermaine-hanspard-74855/,"Long Beach, CA",33.7690164,-118.191604
1999,Recruit,Bryan Johnson,SDE,6-4,305,,,,0,Mt. San Antonio College,Walnut,CA,,Signed,https://247sports.com/Player/bryan-johnson-74875/,"Walnut, CA",34.0203253,-117.8659441
1999,Recruit,Ryan Mitchell,S,5-11,180,,,,0,Grossmont College,El Cajon,CA,,Signed,https://247sports.com/Player/ryan-mitchell-74878/,"El Cajon, CA",32.7947731,-116.962526
1999,Recruit,James Rose,SDE,6-4,305,,,,0,Mt. San Antonio College,Walnut,CA,,Signed,https://247sports.com/Player/james-rose-74880/,"Walnut, CA",34.0203253,-117.8659441
1999,Recruit,Marshaun Tucker,WR,5-10,180,,,,0,Southwestern College,Chula Vista,CA,,Signed,https://247sports.com/Player/marshaun-tucker-74881/,"Chula Vista, CA",32.6400541,-117.084195
2000,Recruit,Mike De La Grange,OT,6-7,300,,,,0,Grants Pass,Grants Pass,OR,,Signed,https://247sports.com/Player/mike-de-la-grange-71309/,"Grants Pass, OR",42.4393707,-123.3272489
2000,Recruit,Sam Cunningham,S,6-0,174,,,,0,Westchester Senior,Los Angeles,CA,,Signed,https://247sports.com/Player/sam-cunningham-71265/,"Los Angeles, CA",34.0536909,-118.242766
2000,Recruit,Charles Favroth,CB,5-11,187,,,,0,De La Salle,Concord,CA,,Signed,https://247sports.com/Player/charles-favroth-71267/,"Concord, CA",37.9768525,-122.0335624
2000,Recruit,Josh Herrera,RB,6-0,186,,,,0,La Habra,La Habra,CA,,Signed,https://247sports.com/Player/josh-herrera-71270/,"La Habra, CA",33.9316066,-117.9454867
2000,Recruit,Keith Lewis,S,6-2,220,,,,0,Valley,Sacramento,CA,,Signed,https://247sports.com/Player/keith-lewis-71278/,"Sacramento, CA",38.5810606,-121.493895
2000,Recruit,Mario McDowell,RB,6-2,210,,,,0,Eisenhower,Rialto,CA,,Signed,https://247sports.com/Player/mario-mcdowell-71283/,"Rialto, CA",34.1064001,-117.3703235
2000,Recruit,Steve Moore,S,6-0,180,,,,0,Dorsey,Los Angeles,CA,,Signed,https://247sports.com/Player/steve-moore-71287/,"Los Angeles, CA",34.0536909,-118.242766
2000,Recruit,Willie Moss-Walden,TE,6-8,260,,,,0,Evergreen,Vancouver,WA,,Signed,https://247sports.com/Player/willie-moss-walden-71292/,"Vancouver, WA",45.6306954,-122.6744557
2000,Recruit,Jared Siegel,K,5-11,180,,,,0,Jesuit,Carmichael,CA,,Signed,https://247sports.com/Player/jared-siegel-71295/,"Carmichael, CA",49.9172707,-108.6546946
2000,Recruit,Eddie Smith,ATH,5-11,175,,,,0,Berkeley,Berkeley,CA,,Signed,https://247sports.com/Player/eddie-smith-71299/,"Berkeley, CA",37.8708393,-122.272863
2000,Recruit,Marley Tucker,S,6-0,187,,,,0,Long Beach Poly,Long Beach,CA,,Signed,https://247sports.com/Player/marley-tucker-71302/,"Long Beach, CA",33.7690164,-118.191604
