Class Year,Type,Name,Position,Height,Weight,Transfer Rating,HS Rating,Transfer Stars,HS Stars,High School,Hometown City,Hometown State,Previous School,Status,Profile URL,location,lat,lon
1999,Recruit,Jarred Friday,OLB,6-4,215,,,,0,Canarias Basketball Academy,Burnaby,BC,,Signed,https://247sports.com/Player/jarred-friday-73396/,"Burnaby, BC",49.2433804,-122.972545
1999,Recruit,Brian Duffy,OT,6-5,300,,,,0,Brick Township Memorial,Brick,NJ,,Signed,https://247sports.com/Player/brian-duffy-73360/,"Brick, NJ",40.0707244,-74.1280562
1999,Recruit,Antoine Lovelace,WR,6-1,205,,,,0,Neshaminy,Langhorne,PA,,Signed,https://247sports.com/Player/antoine-lovelace-73362/,"Langhorne, PA",40.1761812,-74.9202481
1999,Recruit,Jason Malakoski,WDE,6-4,260,,,,0,Mount Carmel,Chicago,IL,,Signed,https://247sports.com/Player/jason-malakoski-73364/,"Chicago, IL",41.8755616,-87.6244212
1999,Recruit,Raheem Orr,OLB,6-4,225,,,,0,Elizabeth,Elizabeth,NJ,,Signed,https://247sports.com/Player/raheem-orr-73366/,"Elizabeth, NJ",40.6639916,-74.2107006
1999,Recruit,Shane Smith,OLB,6-3,225,,,,0,Teaneck,Teaneck,NJ,,Signed,https://247sports.com/Player/shane-smith-73367/,"Teaneck, NJ",40.8860164,-74.0072568
1999,Recruit,Ken Whiteside,OLB,6-3,210,,,,0,Dwight Morrow,Englewood,NJ,,Signed,https://247sports.com/Player/ken-whiteside-73371/,"Englewood, NJ",40.8929329,-73.9726508
1999,Recruit,Nate Colon,RB,5-10,190,,,,0,Granville,Granville,OH,,Signed,https://247sports.com/Player/nate-colon-73374/,"Granville, OH",40.0681192,-82.5196037
1999,Recruit,Brandon Haw,S,6-0,165,,,,0,Riverdale Baptist,Upper Marlboro,MD,,Signed,https://247sports.com/Player/brandon-haw-73379/,"Upper Marlboro, MD",38.8162451,-76.751708
1999,Recruit,Nate Leonard,S,6-1,205,,,,0,Gouverneur Junior-senior,Gouverneur,NY,,Signed,https://247sports.com/Player/nate-leonard-73383/,"Gouverneur, NY",44.3366669,-75.46309
1999,Recruit,Brian Brunson,ILB,6-0,190,,,,0,First Coast,Jacksonville,FL,,Signed,https://247sports.com/Player/brian-brunson-73387/,"Jacksonville, FL",30.3262247,-81.6579179
1999,Recruit,Ryshaun Conover,WR,6-3,195,,,,0,Lakewood,Lakewood,NJ,,Signed,https://247sports.com/Player/ryshaun-conover-73358/,"Lakewood, NJ",40.0940995,-74.2149889
1999,Recruit,Mitch Davis,RB,6-1,215,,,,0,Highland Park,Highland Park,NJ,,Signed,https://247sports.com/Player/mitch-davis-73392/,"Highland Park, NJ",40.4997407,-74.4262011
1999,Recruit,Krzysztof Kaczorowski,OT,6-6,305,,,,0,Hillside,Hillside,NJ,,Signed,https://247sports.com/Player/krzysztof-kaczorowski-73402/,"Hillside, NJ",40.701213,-74.2301459
1999,Recruit,Aaron Martin,WR,6-4,195,,,,0,Bergen Catholic,Oradell,NJ,,Signed,https://247sports.com/Player/aaron-martin-73407/,"Oradell, NJ",40.9543943,-74.0308504
1999,Recruit,Marty Pyszczymuka,WDE,6-3,250,,,,0,Blair Academy,Blairstown,NJ,,Signed,https://247sports.com/Player/marty-pyszczymuka-73413/,"Blairstown, NJ",40.9831598,-74.9602972
1999,Recruit,Chad Schwenk,PRO,6-2,190,,,,0,Whitehall,Whitehall,PA,,Signed,https://247sports.com/Player/chad-schwenk-73414/,"Whitehall, PA",40.6574088,-75.5074517
1999,Recruit,TC Everett,WR,5-11,185,,,,0,Foothill College,Los Altos,CA,,Signed,https://247sports.com/Player/tc-everett-73416/,"Los Altos, CA",37.3790629,-122.116578
1999,Recruit,Errol Johnson,WR,6-2,200,,,,0,Foothill College,Los Altos,CA,,Signed,https://247sports.com/Player/errol-johnson-73419/,"Los Altos, CA",37.3790629,-122.116578
1999,Recruit,Shahib White,S,6-0,190,,,,0,Lackawanna College,Scranton,PA,,Signed,https://247sports.com/Player/shahib-white-73423/,"Scranton, PA",41.4086874,-75.6621294
1999,Recruit,Doug Casper,S,6-0,185,,,,0,Fork Union Military Academy,Fork Union,VA,,Signed,https://247sports.com/Player/doug-casper-73427/,"Fork Union, VA",37.7632986,-78.2626198
1999,Recruit,Greg Graves,TE,6-4,225,,,,0,Archbishop Carroll,Washington,DC,,Signed,https://247sports.com/Player/greg-graves-73433/,"Washington, DC",38.8950982,-77.0363849
1999,Recruit,Rich McManis,OT,6-5,320,,,,0,Triton,Runnemede,NJ,,Signed,https://247sports.com/Player/rich-mcmanis-73437/,"Runnemede, NJ",39.8523358,-75.0679498
2000,Recruit,Brian Hohmann,ATH,6-3,205,,,,0,Bergenfield,Bergenfield,NJ,,Signed,https://247sports.com/Player/brian-hohmann-72067/,"Bergenfield, NJ",40.9275987,-73.9973608
2000,Recruit,Nathan Jones,ATH,5-11,165,,,,0,Scotch Plains Fanwood,Scotch Plains,NJ,,Signed,https://247sports.com/Player/nathan-jones-72023/,"Scotch Plains, NJ",40.65538,-74.3898732
2000,Recruit,Jeff Olsen,TE,6-6,250,,,,0,Bernards,Bernardsville,NJ,,Signed,https://247sports.com/Player/jeff-olsen-72025/,"Bernardsville, NJ",40.7186805,-74.5692273
2000,Recruit,Jereme Baker,CB,5-11,185,,,,0,The Bolles School,Jacksonville,FL,,Signed,https://247sports.com/Player/jereme-baker-72029/,"Jacksonville, FL",30.3262247,-81.6579179
2000,Recruit,John Comiskey,SDE,6-4,270,,,,0,Chatham Hall,Chatham,VA,,Signed,https://247sports.com/Player/john-comiskey-72033/,"Chatham, VA",36.8263032,-79.3984592
2000,Recruit,Rob Dinsmore,OT,6-5,275,,,,0,Scotch Plains Fanwood,Scotch Plains,NJ,,Signed,https://247sports.com/Player/rob-dinsmore-72040/,"Scotch Plains, NJ",40.65538,-74.3898732
2000,Recruit,Anthony Frazier,CB,5-11,205,,,,0,The Pennington School,Pennington,NJ,,Signed,https://247sports.com/Player/anthony-frazier-72043/,"Pennington, NJ",40.3281213,-74.7909992
2000,Recruit,Jacob Garner,OT,6-6,276,,,,0,Carthage,Carthage,NY,,Signed,https://247sports.com/Player/jacob-garner-72047/,"Carthage, NY",43.9781668,-75.6097745
2000,Recruit,Bill Hambrecht,OLB,6-2,215,,,,0,St. Augustine Prep,Richland,NJ,,Signed,https://247sports.com/Player/bill-hambrecht-72065/,"Richland, NJ",39.495841,-74.8900885
2000,Recruit,Chris Dapolito,PRO,6-3,215,,,,0,Matawan Regional,Matawan,NJ,,Signed,https://247sports.com/Player/chris-dapolito-72020/,"Matawan, NJ",40.41483,-74.2295891
2000,Recruit,Benson Hawkins,WDE,6-3,302,,,,0,The Bolles School,Jacksonville,FL,,Signed,https://247sports.com/Player/benson-hawkins-72066/,"Jacksonville, FL",30.3262247,-81.6579179
2000,Recruit,Ron Jenerette,WDE,6-3,240,,,,0,Scotch Plains Fanwood,Scotch Plains,NJ,,Signed,https://247sports.com/Player/ron-jenerette-72068/,"Scotch Plains, NJ",40.65538,-74.3898732
2000,Recruit,Troy Marion,RB,6-1,215,,,,0,High Point Regional,Sussex,NJ,,Signed,https://247sports.com/Player/troy-marion-72069/,"Sussex, NJ",41.133372,-74.6930393
2000,Recruit,Mike Williamson,OT,6-5,290,,,,0,Barnegat,Barnegat,NJ,,Signed,https://247sports.com/Player/mike-williamson-72070/,"Barnegat, NJ",39.7557459,-74.2207395
2000,Recruit,Dan Woodard,OLB,6-2,220,,,,0,Cornell,Coraopolis,PA,,Signed,https://247sports.com/Player/dan-woodard-72072/,"Coraopolis, PA",40.5175351,-80.1643232
2000,Recruit,Ravon Anderson,RB,5-1,195,,,,0,Nassau C.C.,Garden City,NY,,Signed,https://247sports.com/Player/ravon-anderson-72075/,"Garden City, NY",40.7266477,-73.6343052
2000,Recruit,Vaughn Calhoun,RB,6-0,190,,,,0,Monterey Peninsula College,Monterey,CA,,Signed,https://247sports.com/Player/vaughn-calhoun-72082/,"Monterey, CA",36.2231079,-121.387742
2000,Recruit,Torrance Heggie,SDE,6-5,220,,,,0,Ventura College,Ventura,CA,,Signed,https://247sports.com/Player/torrance-heggie-72085/,"Ventura, CA",34.4458248,-119.0779359
2000,Recruit,Travis Mills,OG,6-3,311,,,,0,Garden City C.C.,Garden City,KS,,Signed,https://247sports.com/Player/travis-mills-72088/,"Garden City, KS",37.9716898,-100.8726618
2001,Recruit,Davon Clark,SDE,6-4,285,,,,0,Paterson Catholic,Paterson,NJ,,Signed,https://247sports.com/Player/davon-clark-69764/,"Paterson, NJ",40.9167654,-74.171811
2001,Recruit,Rikki Cook,RB,6-1,235,,,,0,Montclair,Montclair,NJ,,Signed,https://247sports.com/Player/rikki-cook-69767/,"Montclair, NJ",40.8164458,-74.2210643
2001,Recruit,Ryan Cubit,PRO,6-2,195,,,,0,Hickman,Columbia,MO,,Signed,https://247sports.com/Player/ryan-cubit-69770/,"Columbia, MO",38.951883,-92.3337366
2001,Recruit,Cedric Brown,OLB,6-2,240,,,,0,Hackensack,Hackensack,NJ,,Signed,https://247sports.com/Player/cedric-brown-69774/,"Hackensack, NJ",40.8870781,-74.0410667
2001,Recruit,Bran Cunningham,OLB,6-1,220,,,,0,Hudson Catholic,Jersey City,NJ,,Signed,https://247sports.com/Player/bran-cunningham-69775/,"Jersey City, NJ",40.7215682,-74.047455
2001,Recruit,Eddie Grimes,DT,5-11,175,,,,0,American,Hialeah,FL,,Signed,https://247sports.com/Player/eddie-grimes-69777/,"Hialeah, FL",25.8267775,-80.2814009
2001,Recruit,Jarvis Johnson,CB,6-0,190,,,,0,Homestead,Homestead,FL,,Signed,https://247sports.com/Player/jarvis-johnson-69780/,"Homestead, FL",25.4718946,-80.4759905
