Class Year,Type,Name,Position,Height,Weight,Transfer Rating,HS Rating,Transfer Stars,HS Stars,High School,Hometown City,Hometown State,Previous School,Status,Profile URL,location,lat,lon
1999,Recruit,Akil Harris,RB,6-0,200,,,,0,Monrovia,Monrovia,CA,,Signed,https://247sports.com/Player/akil-harris-74644/,"Monrovia, CA",34.1483499,-118.0014517
1999,Recruit,Shane Lehmann,OT,6-5,285,,,,0,Corona,Corona,CA,,Signed,https://247sports.com/Player/shane-lehmann-74608/,"Corona, CA",33.8752945,-117.566444
1999,Recruit,J.P. Losman,PRO,6-3,185,,,,0,Venice,Los Angeles,CA,,Signed,https://247sports.com/Player/jp-losman-74612/,"Los Angeles, CA",34.0536909,-118.242766
1999,Recruit,Jerry Owens,WR,6-4,180,,,,0,Hart,Newhall,CA,,Signed,https://247sports.com/Player/jerry-owens-74614/,"Newhall, CA",34.3798765,-118.5291917
1999,Recruit,Marcus Reese,OLB,6-2,216,,,,0,Oak Grove,San Jose,CA,,Signed,https://247sports.com/Player/marcus-reese-74618/,"San Jose, CA",37.3361663,-121.890591
1999,Recruit,Mike Seidman,TE,6-5,240,,,,0,Westlake,Westlake Village,CA,,Signed,https://247sports.com/Player/mike-seidman-74623/,"Westlake Village, CA",34.1460234,-118.8061794
1999,Recruit,David Ball,DT,6-5,235,,,,0,Dixon,Dixon,CA,,Signed,https://247sports.com/Player/david-ball-74626/,"Dixon, CA",38.4454641,-121.8232958
1999,Recruit,Matt Ball,DT,6-5,235,,,,0,Dixon,Dixon,CA,,Signed,https://247sports.com/Player/matt-ball-74630/,"Dixon, CA",38.4454641,-121.8232958
1999,Recruit,Asi Faoa,OLB,6-4,240,,,,0,Magnolia,Anaheim,CA,,Signed,https://247sports.com/Player/asi-faoa-74636/,"Anaheim, CA",33.8347516,-117.911732
1999,Recruit,Bryce Bohlander,OT,6-6,270,,,,0,McNary,Keizer,OR,,Signed,https://247sports.com/Player/bryce-bohlander-74604/,"Keizer, OR",44.9969,-123.0266267
1999,Recruit,Nathan Fikse,K,5-9,180,,,,0,Anaheim,Anaheim,CA,,Signed,https://247sports.com/Player/nathan-fikse-74640/,"Anaheim, CA",33.8347516,-117.911732
1999,Recruit,Rodney Leisle,DT,6-4,300,,,,0,Ridgeview,Bakersfield,CA,,Signed,https://247sports.com/Player/rodney-leisle-74647/,"Bakersfield, CA",35.3738712,-119.019463
1999,Recruit,Dennis Link,OLB,6-2,200,,,,0,Long Beach Poly,Long Beach,CA,,Signed,https://247sports.com/Player/dennis-link-74650/,"Long Beach, CA",33.7690164,-118.191604
1999,Recruit,Rick Manning,CB,5-9,170,,,,0,Edison,Fresno,CA,,Signed,https://247sports.com/Player/rick-manning-74653/,"Fresno, CA",36.7394421,-119.78483
1999,Recruit,Deshaun McCullough,CB,5-11,185,,,,0,Junipero Serra,Gardena,CA,,Signed,https://247sports.com/Player/deshaun-mccullough-74655/,"Gardena, CA",33.8815601,-118.2935879
1999,Recruit,Ryan Wikert,S,6-2,175,,,,0,Temecula Valley,Temecula,CA,,Signed,https://247sports.com/Player/ryan-wikert-74658/,"Temecula, CA",33.4946353,-117.147366
1999,Recruit,Kevin Brant,ATH,6-0,180,,,,0,Walter Johnson,Bethesda,MD,,Signed,https://247sports.com/Player/kevin-brant-74661/,"Bethesda, MD",38.9812726,-77.1233587
1999,Recruit,Blane Kezirian,ATH,6-5,235,,,,0,El Camino Real Senior,Woodland Hills,CA,,Signed,https://247sports.com/Player/blane-kezirian-74666/,"Woodland Hills, CA",34.1684364,-118.6058382
1999,Recruit,Ryan Smith,WR,6-3,210,,,,0,Flower Mound Marcus,Flower Mound,TX,,Signed,https://247sports.com/Player/ryan-smith-74668/,"Flower Mound, TX",33.0283854,-97.0867203
2000,Recruit,Tab Perry,WR,6-3,218,,,,0,Milpitas,Milpitas,CA,,Enrolled,https://247sports.com/Player/tab-perry-60569/,"Milpitas, CA",37.4332273,-121.8989248
