Class Year,Type,Name,Position,Height,Weight,Transfer Rating,HS Rating,Transfer Stars,HS Stars,High School,Hometown City,Hometown State,Previous School,Status,Profile URL,location,lat,lon
1999,Recruit,Troy Polamalu,CB,5-10,200,,,,0,Douglas,Winston,OR,,Enrolled,https://247sports.com/Player/troy-polamalu-75104/,"Winston, OR",43.1220119,-123.413138
1999,Recruit,Carson Palmer,PRO,6-5,210,,,,0,Santa Margarita Catholic,Rancho Santa Margarita,CA,,Enrolled,https://247sports.com/Player/carson-palmer-76546/,"Rancho Santa Margarita, CA",33.6408845,-117.6029341
1999,Recruit,Kareem Kelly,WR,6-1,187,,,,0,Long Beach Poly,Long Beach,CA,,Signed,https://247sports.com/Player/kareem-kelly-75095/,"Long Beach, CA",33.7690164,-118.191604
1999,Recruit,Darrell Rideaux,CB,5-9,175,,,,0,Long Beach Poly,Long Beach,CA,,Signed,https://247sports.com/Player/darrell-rideaux-75096/,"Long Beach, CA",33.7690164,-118.191604
1999,Recruit,Bernard Riley,SDE,6-3,310,,,,0,Los Alamitos,Los Alamitos,CA,,Signed,https://247sports.com/Player/bernard-riley-75097/,"Los Alamitos, CA",33.8038865,-118.0772433
1999,Recruit,Lenny Vandermade,OG,6-4,270,,,,0,Mater Dei,Santa Ana,CA,,Signed,https://247sports.com/Player/lenny-vandermade-75098/,"Santa Ana, CA",33.7494951,-117.873221
1999,Recruit,Sagan Atuatasi,SDE,6-3,295,,,,0,Los Alamitos,Los Alamitos,CA,,Signed,https://247sports.com/Player/sagan-atuatasi-75099/,"Los Alamitos, CA",33.8038865,-118.0772433
1999,Recruit,Aaron Graham,OLB,6-2,220,,,,0,Bakersfield,Bakersfield,CA,,Signed,https://247sports.com/Player/aaron-graham-75100/,"Bakersfield, CA",35.3738712,-119.019463
1999,Recruit,Luke MacKay,OG,6-5,268,,,,0,Hughson,Hughson,CA,,Signed,https://247sports.com/Player/luke-mackay-75101/,"Hughson, CA",37.5969577,-120.8660083
1999,Recruit,Omar Nazel,SDE,6-5,214,,,,0,Oakland,Oakland,CA,,Signed,https://247sports.com/Player/omar-nazel-75102/,"Oakland, CA",37.8044557,-122.271356
1999,Recruit,Chris Prosser,OLB,6-4,220,,,,0,Morse,San Diego,CA,,Signed,https://247sports.com/Player/chris-prosser-75105/,"San Diego, CA",32.7174202,-117.162772
1999,Recruit,Marcel Almond,WR,6-2,180,,,,0,Santa Fe,Santa Fe Springs,CA,,Signed,https://247sports.com/Player/marcel-almond-75094/,"Santa Fe Springs, CA",33.9480787,-118.0691499
1999,Recruit,Nate Steinbacher,OG,6-6,295,,,,0,Esperanza,Placentia,CA,,Signed,https://247sports.com/Player/nate-steinbacher-75107/,"Placentia, CA",33.8714814,-117.8617337
1999,Recruit,Steve Stevenson,WR,6-2,205,,,,0,Charter Oak,Covina,CA,,Signed,https://247sports.com/Player/steve-stevenson-75108/,"Covina, CA",34.0877926,-117.8891164
1999,Recruit,Eric Torres,OG,6-5,310,,,,0,Bishop Montgomery,Torrance,CA,,Signed,https://247sports.com/Player/eric-torres-75109/,"Torrance, CA",33.8371392,-118.3413606
1999,Recruit,Chad Cook,TE,6-4,225,,,,0,Portland Jesuit,Portland,OR,,Signed,https://247sports.com/Player/chad-cook-75110/,"Portland, OR",45.5202471,-122.674194
1999,Recruit,Norman Katrick,OG,6-5,245,,,,0,Foothill,Santa Ana,CA,,Signed,https://247sports.com/Player/norman-katrick-75111/,"Santa Ana, CA",33.7494951,-117.873221
1999,Recruit,DeShaun Hill,S,6-0,170,,,,0,Long Beach Poly,Long Beach,CA,,Signed,https://247sports.com/Player/deshaun-hill-75112/,"Long Beach, CA",33.7690164,-118.191604
1999,Recruit,Craig Mitchell,CB,5-10,165,,,,0,West Los Angeles College,Culver City,CA,,Signed,https://247sports.com/Player/craig-mitchell-75113/,"Culver City, CA",34.0211224,-118.396466
1999,Recruit,David Newbury,K,5-9,170,,,,0,Navarro College,Corsicana,TX,,Signed,https://247sports.com/Player/david-newbury-75114/,"Corsicana, TX",32.0938236,-96.464675
1999,Recruit,Marcus Steele,OLB,6-3,215,,,,0,Long Beach City College,Long Beach,CA,,Signed,https://247sports.com/Player/marcus-steele-75115/,"Long Beach, CA",33.7690164,-118.191604
1999,Recruit,Matt Childers,SDE,6-4,250,,,,0,Kansas City C.C.,Kansas City,KS,,Signed,https://247sports.com/Player/matt-childers-75117/,"Kansas City, KS",39.1134562,-94.626497
1999,Recruit,Jacob Rogers,TE,6-6,235,,,,0,Oxnard Union,Oxnard,CA,,Signed,https://247sports.com/Player/jacob-rogers-75106/,"Oxnard, CA",34.1976308,-119.180381
2000,Recruit,Alex Holmes,TE,6-2,295,,,,0,Harvard Westlake,Studio City,CA,,Enrolled,https://247sports.com/Player/alex-holmes-60571/,"Studio City, CA",34.1483989,-118.3961877
