Class Year,Type,Name,Position,Height,Weight,Transfer Rating,HS Rating,Transfer Stars,HS Stars,High School,Hometown City,Hometown State,Previous School,Status,Profile URL,location,lat,lon
1999,Recruit,Paul Arnold,RB,6-1,200,,,,0,Kennedy Catholic,Burien,WA,,Signed,https://247sports.com/Player/paul-arnold-73203/,"Burien, WA",47.469918,-122.3485274
1999,Recruit,Todd Bachert,OG,6-4,275,,,,0,Mission Viejo,Mission Viejo,CA,,Signed,https://247sports.com/Player/todd-bachert-73204/,"Mission Viejo, CA",33.5965685,-117.659405
1999,Recruit,Clayton Hathome,S,6-3,205,,,,0,Menlo-Atherton,Menlo Park,CA,,Signed,https://247sports.com/Player/clayton-hathome-73209/,"Menlo Park, CA",37.4519671,-122.177992
1999,Recruit,Cody Pickett,PRO,6-4,210,,,,0,Caldwell Senior,Caldwell,ID,,Signed,https://247sports.com/Player/cody-pickett-73212/,"Caldwell, ID",43.6678736,-116.689415
1999,Recruit,Domynic Shaw,CB,5-11,195,,,,0,Skyline,Oakland,CA,,Signed,https://247sports.com/Player/domynic-shaw-73214/,"Oakland, CA",37.8044557,-122.271356
1999,Recruit,John Anderson,K,6-1,170,,,,0,Pope John Paul II,Boca Raton,FL,,Signed,https://247sports.com/Player/john-anderson-73216/,"Boca Raton, FL",26.3586885,-80.0830984
1999,Recruit,Chris Massey,CB,5-11,185,,,,0,Moreno Valley,Moreno Valley,CA,,Signed,https://247sports.com/Player/chris-massey-73219/,"Moreno Valley, CA",33.9375177,-117.2305791
1999,Recruit,Adam Seery,S,6-2,190,,,,0,Eldorado,Albuquerque,NM,,Signed,https://247sports.com/Player/adam-seery-73224/,"Albuquerque, NM",35.0841034,-106.650985
1999,Recruit,Joey Thomas,S,6-1,180,,,,0,Kennedy Catholic,Burien,WA,,Signed,https://247sports.com/Player/joey-thomas-73227/,"Burien, WA",47.469918,-122.3485274
1999,Recruit,Kevin Ware,TE,6-2,240,,,,0,Klein Oak,Spring,TX,,Signed,https://247sports.com/Player/kevin-ware-73231/,"Spring, TX",30.070979,-95.4013419
1999,Recruit,Tyler Krambrink,OLB,6-1,190,,,,0,Eatonville,Eatonville,WA,,Signed,https://247sports.com/Player/tyler-krambrink-73233/,"Eatonville, WA",46.8682516,-122.270068
1999,Recruit,Levi Madarieta,S,6-3,205,,,,0,Weiser,Weiser,ID,,Signed,https://247sports.com/Player/levi-madarieta-73237/,"Weiser, ID",44.2454664,-116.9702376
1999,Recruit,Quentin Morgan,WR,6-0,175,,,,0,Denton,Denton,TX,,Signed,https://247sports.com/Player/quentin-morgan-73239/,"Denton, TX",33.1838787,-97.1413417
1999,Recruit,Nick Newton,OT,6-5,275,,,,0,White River,Buckley,WA,,Signed,https://247sports.com/Player/nick-newton-73244/,"Buckley, WA",47.1622483,-122.027746
1999,Recruit,Jerome Stevens,OLB,6-2,245,,,,0,Rio Mesa,Oxnard,CA,,Signed,https://247sports.com/Player/jerome-stevens-73247/,"Oxnard, CA",34.1976308,-119.180381
1999,Recruit,Wes Call,OT,6-7,298,,,,0,Santa Rosa,Santa Rosa,CA,,Signed,https://247sports.com/Player/wes-call-73250/,"Santa Rosa, CA",38.4404925,-122.7141049
1999,Recruit,Adis Davtyan,OG,6-2,300,,,,0,Glendale C.C.,Glendale,CA,,Signed,https://247sports.com/Player/adis-davtyan-73253/,"Glendale, CA",34.1469416,-118.2478471
1999,Recruit,Roderick Green,CB,5-11,180,,,,0,Blinn College,Brenham,TX,,Signed,https://247sports.com/Player/roderick-green-73256/,"Brenham, TX",30.1668828,-96.3977442
2000,Recruit,Dan Dicks,OG,6-5,280,,,,0,Bellevue,Bellevue,WA,,Enrolled,https://247sports.com/Player/dan-dicks-60946/,"Bellevue, WA",47.6144219,-122.192337
2000,Recruit,Khalif Barnes,WDE,6-4,240,,,,0,Mount Miguel,Spring Valley,CA,,Enrolled,https://247sports.com/Player/khalif-barnes-72608/,"Spring Valley, CA",39.0762525,-122.5949373
2000,Recruit,Daniel Dicks,OT,6-5,280,,,,0,Bellevue,Bellevue,WA,,Signed,https://247sports.com/Player/daniel-dicks-72589/,"Bellevue, WA",47.6144219,-122.192337
2000,Recruit,Rich Alexis,RB,6-0,200,,,,0,Pope John Paul II,Boca Raton,FL,,Signed,https://247sports.com/Player/rich-alexis-72590/,"Boca Raton, FL",26.3586885,-80.0830984
