Class Year,Type,Name,Position,Height,Weight,Transfer Rating,HS Rating,Transfer Stars,HS Stars,High School,Hometown City,Hometown State,Previous School,Status,Profile URL,location,lat,lon
1999,Recruit,Wendall Davidson,OLB,6-1,240,,,,0,Pershing,Detroit,MI,,Signed,https://247sports.com/Player/wendall-davidson-73825/,"Detroit, MI",42.3315509,-83.0466403
1999,Recruit,Lee Evans,WR,5-11,167,,,,0,Bedford,Bedford,OH,,Signed,https://247sports.com/Player/lee-evans-73791/,"Bedford, OH",41.39311,-81.536509
1999,Recruit,Travis Jack,OLB,6-2,220,,,,0,Archbishop Curley Notre Dame,Miami,FL,,Signed,https://247sports.com/Player/travis-jack-73796/,"Miami, FL",25.7741566,-80.1935973
1999,Recruit,David Lantigua,K,6-0,175,,,,0,Winter Park,Winter Park,FL,,Signed,https://247sports.com/Player/david-lantigua-73800/,"Winter Park, FL",28.5977707,-81.3510264
1999,Recruit,Jeff Mack,OLB,6-1,240,,,,0,Madison West,Madison,WI,,Signed,https://247sports.com/Player/jeff-mack-73804/,"Madison, WI",43.07469,-89.3841663
1999,Recruit,Jim Sorgi,PRO,6-5,180,,,,0,Fraser,Fraser,MI,,Signed,https://247sports.com/Player/jim-sorgi-73806/,"Fraser, MI",42.539202,-82.9493652
1999,Recruit,B.J. Tucker,CB,5-11,175,,,,0,Nicolet,Milwaukee,WI,,Signed,https://247sports.com/Player/bj-tucker-73809/,"Milwaukee, WI",43.0386475,-87.9090751
1999,Recruit,Stephon Watson,S,6-3,180,,,,0,Aberdeen,Aberdeen,MD,,Signed,https://247sports.com/Player/stephon-watson-73812/,"Aberdeen, MD",39.5120347,-76.1643289
1999,Recruit,Scott Wille,PRO,6-3,200,,,,0,Oconomowoc,Oconomowoc,WI,,Signed,https://247sports.com/Player/scott-wille-73819/,"Oconomowoc, WI",43.1116731,-88.4992659
1999,Recruit,Byron Brown,ATH,5-11,175,,,,0,Overbrook,Clementon,NJ,,Signed,https://247sports.com/Player/byron-brown-73787/,"Clementon, NJ",39.8115033,-74.9829443
1999,Recruit,Lance Young,WR,6-2,190,,,,0,Beaumont,St. Louis,MO,,Signed,https://247sports.com/Player/lance-young-73821/,"St. Louis, MO",38.6254063,-90.190009
1999,Recruit,Sal DiMucci,FB,6-2,215,,,,0,Loyola Academy,Wilmette,IL,,Signed,https://247sports.com/Player/sal-dimucci-73827/,"Wilmette, IL",42.076066,-87.7115555
1999,Recruit,Jesse Mayfield,SDE,6-6,240,,,,0,Ben Davis,Indianapolis,IN,,Signed,https://247sports.com/Player/jesse-mayfield-73828/,"Indianapolis, IN",39.7683331,-86.1583502
1999,Recruit,Jael Speights,RB,6-1,215,,,,0,Zion-Benton,Zion,IL,,Signed,https://247sports.com/Player/jael-speights-73830/,"Zion, IL",42.4501169,-87.8337753
1999,Recruit,Rob Tucker,TE,6-4,235,,,,0,Northrop,Fort Wayne,IN,,Signed,https://247sports.com/Player/rob-tucker-73833/,"Fort Wayne, IN",41.0799898,-85.1386015
1999,Recruit,Issac Booker,FB,6-0,255,,,,0,Union County,Lake Butler,FL,,Signed,https://247sports.com/Player/issac-booker-73836/,"Lake Butler, FL",30.0227391,-82.3395574
1999,Recruit,Morgan Davis,OT,6-7,298,,,,0,Barron,Barron,WI,,Signed,https://247sports.com/Player/morgan-davis-73839/,"Barron, WI",45.423557,-91.8454099
1999,Recruit,Nana Gillette-Spio,RB,6-0,190,,,,0,Overbrook,Clementon,NJ,,Signed,https://247sports.com/Player/nana-gillette-spio-73842/,"Clementon, NJ",39.8115033,-74.9829443
1999,Recruit,Broderick Williams,RB,6-0,180,,,,0,Needville,Needville,TX,,Signed,https://247sports.com/Player/broderick-williams-73844/,"Needville, TX",29.3974305,-95.8380978
2000,Recruit,Darius Jones,ILB,6-4,250,,,,0,Beloit Memorial,Beloit,WI,,Enrolled,https://247sports.com/Player/darius-jones-60584/,"Beloit, WI",42.5083272,-89.031784
2000,Recruit,Ryan Aiello,S,6-1,195,,,,0,El Camino,Oceanside,CA,,Signed,https://247sports.com/Player/ryan-aiello-72867/,"Oceanside, CA",33.1958696,-117.379483
2000,Recruit,Kalvin Barrett,DT,6-2,282,,,,0,Monte Vista,Spring Valley,CA,,Signed,https://247sports.com/Player/kalvin-barrett-72816/,"Spring Valley, CA",39.0762525,-122.5949373
2000,Recruit,Chris Catalano,S,6-1,193,,,,0,Westlake,Westlake Village,CA,,Signed,https://247sports.com/Player/chris-catalano-72822/,"Westlake Village, CA",34.1460234,-118.8061794
2000,Recruit,Ryan Englebert,FB,6-0,225,,,,0,Southern Door,Brussels,WI,,Signed,https://247sports.com/Player/ryan-englebert-72824/,"Brussels, WI",44.7261555,-87.580452
2000,Recruit,Tyrone Griffin,RB,6-1,230,,,,0,Sumner,St. Louis,MO,,Signed,https://247sports.com/Player/tyrone-griffin-72826/,"St. Louis, MO",38.6254063,-90.190009
2000,Recruit,Travann Hayes,WR,5-11,180,,,,0,Larkin,Elgin,IL,,Signed,https://247sports.com/Player/travann-hayes-72829/,"Elgin, IL",42.03726,-88.2810994
2000,Recruit,Ryan Keepman,OLB,6-4,210,,,,0,Oconomowoc,Oconomowoc,WI,,Signed,https://247sports.com/Player/ryan-keepman-72833/,"Oconomowoc, WI",43.1116731,-88.4992659
2000,Recruit,Traison Lewis,DT,6-2,231,,,,0,Rancho Cucamonga,Rancho Cucamonga,CA,,Signed,https://247sports.com/Player/traison-lewis-72836/,"Rancho Cucamonga, CA",34.1033192,-117.575173
2000,Recruit,Mike Lorenz,OT,6-6,280,,,,0,Manitowoc Lutheran,Manitowoc,WI,,Signed,https://247sports.com/Player/mike-lorenz-72839/,"Manitowoc, WI",44.0998341,-87.827992
2000,Recruit,Tony Pasciotti,TE,6-4,245,,,,0,Valley View,Archbald,PA,,Signed,https://247sports.com/Player/tony-pasciotti-72842/,"Archbald, PA",41.4948038,-75.5368521
2000,Recruit,Matt Schabert,PRO,6-2,195,,,,0,Larkin,Elgin,IL,,Signed,https://247sports.com/Player/matt-schabert-72844/,"Elgin, IL",42.03726,-88.2810994
2000,Recruit,Jerron Smith,OLB,6-2,220,,,,0,Overbrook,Clementon,NJ,,Signed,https://247sports.com/Player/jerron-smith-72851/,"Clementon, NJ",39.8115033,-74.9829443
2000,Recruit,Ryan Wilkerson,OT,6-8,305,,,,0,Fort Bend Clements,Sugar Land,TX,,Signed,https://247sports.com/Player/ryan-wilkerson-72861/,"Sugar Land, TX",29.6196787,-95.6349463
2000,Recruit,Mark Bell,TE,6-4,220,,,,0,Chaparral,Scottsdale,AZ,,Signed,https://247sports.com/Player/mark-bell-72937/,"Scottsdale, AZ",33.4942189,-111.926018
2000,Recruit,Michael Broussard,RB,5-10,185,,,,0,The Colony,The Colony,TX,,Signed,https://247sports.com/Player/michael-broussard-72938/,"The Colony, TX",33.0890094,-96.8863922
2000,Recruit,Jonathan Clinkscale,OG,6-4,285,,,,0,Pasadena,Pasadena,CA,,Signed,https://247sports.com/Player/jonathan-clinkscale-72940/,"Pasadena, CA",34.1476507,-118.144155
2000,Recruit,Anthony Davis,RB,5-7,195,,,,0,Plainfield,Plainfield,NJ,,Signed,https://247sports.com/Player/anthony-davis-72941/,"Plainfield, NJ",40.6201412,-74.4222416
2000,Recruit,Adam Espinoza,K,5-10,163,,,,0,Arcadia,Arcadia,CA,,Signed,https://247sports.com/Player/adam-espinoza-72942/,"Arcadia, CA",34.1362075,-118.0401497
2000,Recruit,Jason Jefferson,OG,6-4,320,,,,0,Leo Catholic,Chicago,IL,,Signed,https://247sports.com/Player/jason-jefferson-72944/,"Chicago, IL",41.8755616,-87.6244212
2000,Recruit,Jerone Pettus,RB,5-9,175,,,,0,Roosevelt,Roosevelt,NY,,Signed,https://247sports.com/Player/jerone-pettus-72945/,"Roosevelt, NY",40.678101,-73.5856329
